"site","dos","date","number","genID","fieldPlantID","plantFamily","finalPlantID","samplingDay","samplingRound","collector","temp.id","order","family","genus","subgenus","species","subspecies","sex","determiner","dateDetermined","author"
"PL",34,"8/13/12","117","wasp","yarrow","Asteraceae","Achillea millefolium",5,5,"LCP","PL_081312_117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH",41,"8/20/12","56","beetle","yarrow","Asteraceae","Achillea millefolium",3,3,"LCP","CH_082012_56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH",41,"8/20/12","57","beetle","yarrow","Asteraceae","Achillea millefolium",3,3,"LCP","CH_082012_57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH",41,"8/20/12","181","beetle","yarrow","Asteraceae","Achillea millefolium",3,3,"HLS","CH_082012_181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH",42,"8/21/12","52","wasp","yarrow","Asteraceae","Achillea millefolium",4,4,"LCP","CH_082112_52","Hymenoptera","Vespidae","Ancistrocerus","","bustamente","","","J. Carpenter","2013","Saussure"
"CH",42,"8/21/12","173","beetle","yarrow","Asteraceae","Achillea millefolium",4,4,"HLS","CH_082112_173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",34,"8/13/12","146","bee","spike mint","Lamiaceae","Agastache pallidiflora ssp. neomexicana",5,5,"HLS","PL_081312_146","Hymenoptera","Apidae","Anthophora","","californica","","f","J.S. Ascher","2013","Cresson"
"PL",34,"8/13/12","145","bee","spike mint","Lamiaceae","Agastache pallidiflora ssp. neomexicana",5,5,"HLS","PL_081312_145","Hymenoptera","Apidae","Anthophora","","terminalis","","f","J.S. Ascher","2013","Cresson"
"MM",23,"8/2/12","107","bumble bee","spike mint","Lamiaceae","Agastaene pallidiflora ssp. pallidiflora",3,3,"LCP","MM_080212_107","Hymenoptera","Apidae","Bombus","","flavifrons","","m","R.W. Thorp","2013","Cresson"
"MM",23,"8/2/12","106","bombyliid","spike mint","Lamiaceae","Agastaene pallidiflora ssp. pallidiflora",3,3,"LCP","MM_080212_106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MM",23,"8/2/12","306","bombyliid","spike mint","Lamiaceae","Agastaene pallidiflora ssp. pallidiflora",3,3,"HLS","MM_080212_306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MM",24,"8/3/12","102","bombyliid","spike mint","Lamiaceae","Agastaene pallidiflora ssp. pallidiflora",4,4,"HLS","MM_080312_102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MM",25,"8/4/12","169","bombyliid","spike mint","Lamiaceae","Agastaene pallidiflora ssp. pallidiflora",5,5,"LCP","MM_080412_169",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SC",13,"7/23/12","11","small dark bee","orange dandilion","Asteraceae","Agoseris aurantica",3,2,"HLS","SC_072312_11","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","J.S. Ascher","2013","Cockerell"
"SC",13,"7/23/12","12","small dark bee","orange dandilion","Asteraceae","Agoseris aurantica",3,2,"HLS","SC_072312_12","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","J.S. Ascher","2013","Cockerell"
"SC",16,"7/26/12","114","bee","orange dandilion","Asteraceae","Agoseris aurantica",4,3,"LCP","SC_072612_114","Hymenoptera","Apidae","Bombus","","fervidus","","f","R.W. Thorp","2013","Fabricius"
"SC",16,"7/26/12","59","sweat bee","orange dandilion","Asteraceae","Agoseris aurantica",4,3,"HLS","SC_072612_59","Hymenoptera","Halictidae","Agapostemen","","angelicus","","f","J.S. Ascher","2013","Cockerell"
"SC",16,"7/26/12","75","small dark bee","orange dandilion","Asteraceae","Agoseris aurantica",4,3,"HLS","SC_072612_75","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","J.S. Ascher","2013","Cockerell"
"SC",17,"7/27/12","256","Sweat bee","Orange dandilion","Asteraceae","Agoseris aurantica",5,4,"LCP","SC_072712_256","Hymenoptera","Halictidae","Agapostemen","","angelicus","","f","J.S. Ascher","2013","Cockerell"
"SC",17,"7/27/12","257","Sweat bee","Orange dandilion","Asteraceae","Agoseris aurantica",5,4,"LCP","SC_072712_257","Hymenoptera","Halictidae","Agapostemen","","angelicus","","f","J.S. Ascher","2013","Cockerell"
"SC",17,"7/27/12","48","small dark bee","orange dandilion","Asteraceae","Agoseris aurantica",5,4,"HLS","SC_072712_48","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","J.S. Ascher","2013","Cockerell"
"SC",17,"7/27/12","49","small dark bee","orange dandilion","Asteraceae","Agoseris aurantica",5,4,"HLS","SC_072712_49","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","J.S. Ascher","2013","Cockerell"
"SC",17,"7/27/12","99","small dark bee","Orange dandilion","Asteraceae","Agoseris aurantica",5,4,"HLS","SC_072712_99","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","J.S. Ascher","2013","Cockerell"
"SC",17,"7/27/12","255","fly","Orange dandilion","Asteraceae","Agoseris aurantica",5,4,"LCP","SC_072712_255","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","J.S. Ascher","2013","Cockerell"
"SC",18,"7/28/12","213","wasp","Orange dandilion","Asteraceae","Agoseris aurantica",6,5,"LCP","SC_072812_213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SC",18,"7/28/12","214","small dark bee","Orange dandilion","Asteraceae","Agoseris aurantica",6,5,"LCP","SC_072812_214","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","J.S. Ascher","2013","Cockerell"
"SC",18,"7/28/12","215","small dark bee","Orange dandilion","Asteraceae","Agoseris aurantica",6,5,"LCP","SC_072812_215","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","J.S. Ascher","2013","Cockerell"
"SC",19,"7/29/12","83","small dark bee","Orange dandilion","Asteraceae","Agoseris aurantica",7,5,"LCP","SC_072912_83","Hymenoptera","Halictidae","Lasioglossum","Dialictus","ruidosense","","m","J.S. Ascher","2013","Cockerell"
"PL",32,"8/11/12","279","sulfur","orange dandilion","Asteraceae","Agoseris aurantica",3,3,"HLS","PL_081112_279","Lepidoptera","Pieridae","Colias",NA,"eurytheme","","","L.Ponisio","2013","Boisduval"
"PL",33,"8/12/12","294","sulfur","orange dandilion","Asteraceae","Agoseris aurantica",4,4,"LCP","PL_081212_294","Lepidoptera","Pieridae","Colias",NA,"eurytheme","","","L.Ponisio","2013","Boisduval"
"MM",23,"8/2/12","305","small dark bee","yellow dandilion","Asteraceae","Agoseris glauca",3,3,"HLS","MM_080212_305","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","J.S. Ascher","2013","Cockerell"
"MM",24,"8/3/12","101","bee","yellow dandilion","Asteraceae","Agoseris glauca",4,4,"HLS","MM_080312_101","Hymenoptera","Andrenidae","Andrena",NA,"apacheorum","","f","J.S. Ascher","2013","Cockerell"
"MM",24,"8/3/12","114","syrphid","yellow dandilion","Asteraceae","Agoseris glauca",4,4,"LCP","MM_080312_114","Diptera","Syrphidae","Copestylum",NA,"avidum","","","M. Hauser","2013","Sacken"
"MM",25,"8/4/12","219","small dark bee","yellow dandilion","Asteraceae","Agoseris glauca",5,5,"LCP","MM_080412_219","Hymenoptera","Halictidae","Lasioglossum","Dialictus","ruidosense","","f","J.S. Ascher","2013","Cockerell"
"MM",25,"8/4/12","167","syrphid","yellow dandilion","Asteraceae","Agoseris glauca",5,5,"LCP","MM_080412_167","Diptera","Syrphidae","Copestylum",NA,"avidum","","","M. Hauser","2013","Sacken"
"JC",5,"7/15/12","142","bumble bee","onion","Amaryllidaceae","Allium cernuum",4,3,"HLS","JC_071512_142","Hymenoptera","Apidae","Bombus","","flavifrons","","f","R.W. Thorp","2013","Cresson"
"JC",7,"7/17/12","173","bumble bee","red onion","Amaryllidaceae","Allium cernuum",6,5,"LCP","JC_071712_173","Hymenoptera","Apidae","Bombus","","flavifrons","","f","R.W. Thorp","2013","Cresson"
"JC",7,"7/17/12","174","bumble bee","red onion","Amaryllidaceae","Allium cernuum",6,5,"LCP","JC_071712_174","Hymenoptera","Apidae","Bombus","","flavifrons","","f","R.W. Thorp","2013","Cresson"
"JC",7,"7/17/12","21","bee","red onion","Amaryllidaceae","Allium cernuum",6,5,"HLS","JC_071712_21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MM",23,"8/2/12","110","syrphid","nodding onion","Amaryllidaceae","Allium cernuum",3,3,"LCP","MM_080212_110","Diptera","Syrphidae","Chrysotoxum",NA,"sp.","a","","M. Hauser","2013",""
"MM",24,"8/3/12","206","bumble bee","nodding onion","Amaryllidaceae","Allium cernuum",4,4,"LCP","MM_080312_206","Hymenoptera","Apidae","Bombus","","huntii","","f","R.W. Thorp","2013","Greene"
"MM",25,"8/4/12","208","wasp","nodding onion","Amaryllidaceae","Allium cernuum",5,5,"LCP","MM_080412_208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SC",17,"7/27/12","51","syrphid","upright onion","Amaryllidaceae","Allium geyer",5,4,"HLS","SC_072712_51","Diptera","Syrphidae","Copestylum",NA,"lentum","","","M. Hauser","2013","Williston"
"SC",19,"7/29/12","65","wasp","onion","Amaryllidaceae","Allium geyer",7,5,"LCP","SC_072912_65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MM",23,"8/2/12","114","small dark bee","rock jasmine","Primulaceae","Androsace chamaejasme",3,3,"LCP","MM_080212_114","Hymenoptera","Halictidae","Lasioglossum","Dialictus","ruidosense","","f","J.S. Ascher","2013","Cockerell"
"MM",23,"8/2/12","303","small dark bee","jasmine","Primulaceae","Androsace chamaejasme",3,3,"HLS","MM_080212_303","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","J.S. Ascher","2013","Cockerell"
"PL",31,"8/10/12","148","bombyliid","white star","Caryophyllacea","Arenaria lanuginosa",2,2,"LCP","PL_081012_148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JC",1,"7/11/12","26","bumble bee","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",1,1,"LCP","JC_071112_26","Hymenoptera","Apidae","Bombus","","rufocinctus","","f","R.W. Thorp","2013","Cresson"
"JC",2,"7/12/12","7","bumble bee","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",2,1,"HLS","JC_071212_7","Hymenoptera","Apidae","Bombus","","bifarius","","f","R.W. Thorp","2013","Cresson"
"JC",2,"7/12/12","17","bumble bee","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",2,1,"HLS","JC_071212_17","Hymenoptera","Apidae","Bombus","","bifarius","","f","R.W. Thorp","2013","Cresson"
"JC",2,"7/12/12","38","bumble bee","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",2,1,"LCP","JC_071212_38","Hymenoptera","Halictidae","Agapostemen","","angelicus","","f","J.S. Ascher","2013","Cockerell"
"JC",2,"7/12/12","39","bumble bee","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",2,1,"LCP","JC_071212_39","Hymenoptera","Apidae","Bombus","","rufocinctus","","f","R.W. Thorp","2013","Cresson"
"JC",2,"7/12/12","104","bumble bee","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",2,1,"LCP","JC_071212_104","Hymenoptera","Apidae","Bombus","","rufocinctus","","f","R.W. Thorp","2013","Cresson"
"JC",2,"7/12/12","123","bumble bee","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",2,1,"HLS","JC_071212_123","Hymenoptera","Apidae","Bombus","","rufocinctus","","f","R.W. Thorp","2013","Cresson"
"JC",2,"7/12/12","23","bee","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",2,1,"HLS","JC_071212_23","Hymenoptera","Halictidae","Dufourea","","fimbriata","","f","J.S. Ascher","2013","Cresson"
"JC",2,"7/12/12","8","bee","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",2,1,"HLS","JC_071212_8","Hymenoptera","Apidae","Melissodes","Eumelissodes","tristis","","f","J.S. Ascher","2013","Cockerell"
"JC",2,"7/12/12","10","bee","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",2,1,"HLS","JC_071212_10","Hymenoptera","Apidae","Melissodes","Eumelissodes","tristis","","f","J.S. Ascher","2013","Cockerell"
"JC",2,"7/12/12","18","bee","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",2,1,"HLS","JC_071212_18","Hymenoptera","Apidae","Melissodes","Eumelissodes","tristis","","f","J.S. Ascher","2013","Cockerell"
"JC",2,"7/12/12","32","bee","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",2,1,"LCP","JC_071212_32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JC",2,"7/12/12","106","bee","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",2,1,"HLS","JC_071212_106","Hymenoptera","Apidae","Melissodes","Eumelissodes","tristis","","f","J.S. Ascher","2013","Cockerell"
"JC",2,"7/12/12","132","pierid","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",2,1,"HLS","JC_071212_132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JC",4,"7/14/12","16","bee","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",3,2,"LCP","JC_071412_16","Hymenoptera","Apidae","Anthophora","","montana","","m","J.S. Ascher","2013","Cresson"
"JC",4,"7/14/12","15","bumble bee","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",3,2,"LCP","JC_071412_15","Hymenoptera","Apidae","Bombus","","rufocinctus","","f","R.W. Thorp","2013","Cresson"
"JC",4,"7/14/12","17","bumble bee","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",3,2,"LCP","JC_071412_17","Hymenoptera","Apidae","Bombus","","rufocinctus","","f","R.W. Thorp","2013","Cresson"
