site,date,number,genID,finalPlantID
PL,81112,65,short tongued fly,Achillea millefolium
PL,81112,66,short tongued fly,Achillea millefolium
PL,81112,67,short tongued fly,Achillea millefolium
PL,81112,68,short tongued fly,Achillea millefolium
PL,81112,184,long tongued fly,Achillea millefolium
PL,81112,185,short tongued fly,Achillea millefolium
PL,81112,206,short tongued fly,Achillea millefolium
PL,81112,207,short tongued fly,Achillea millefolium
PL,81112,208,short tongued fly,Achillea millefolium
PL,81112,209,short tongued fly,Achillea millefolium
PL,81212,181,short tongued fly,Achillea millefolium
PL,81212,182,short tongued fly,Achillea millefolium
PL,81212,183,short tongued fly,Achillea millefolium
PL,81212,184,short tongued fly,Achillea millefolium
PL,81212,185,short tongued fly,Achillea millefolium
PL,81212,186,short tongued fly,Achillea millefolium
PL,81212,187,short tongued fly,Achillea millefolium
PL,81212,287,butterfly,Achillea millefolium
PL,81312,114,short tongued fly,Achillea millefolium
PL,81312,115,short tongued fly,Achillea millefolium
PL,81312,116,short tongued fly,Achillea millefolium
PL,81312,117,wasp,Achillea millefolium
CH,82012,56,beetle,Achillea millefolium
CH,82012,57,beetle,Achillea millefolium
CH,82012,181,beetle,Achillea millefolium
CH,82112,52,wasp,Achillea millefolium
CH,82112,173,beetle,Achillea millefolium
PL,81312,145,long tongued bee,Agastache pallidiflora ssp. neomexicana
PL,81312,146,long tongued bee,Agastache pallidiflora ssp. neomexicana
MM,80212,106,long tongued fly,Agastaene pallidiflora ssp. pallidiflora
MM,80212,107,long tongued bee,Agastaene pallidiflora ssp. pallidiflora
MM,80212,306,long tongued fly,Agastaene pallidiflora ssp. pallidiflora
MM,80312,102,long tongued fly,Agastaene pallidiflora ssp. pallidiflora
MM,80412,169,long tongued fly,Agastaene pallidiflora ssp. pallidiflora
SC,72312,11,short tongued bee,Agoseris aurantica
SC,72312,12,short tongued bee,Agoseris aurantica
SC,72612,59,short tongued bee,Agoseris aurantica
SC,72612,75,short tongued bee,Agoseris aurantica
SC,72612,114,long tongued bee,Agoseris aurantica
SC,72712,48,short tongued bee,Agoseris aurantica
SC,72712,49,short tongued bee,Agoseris aurantica
SC,72712,99,short tongued bee,Agoseris aurantica
SC,72712,255,short tongued fly,Agoseris aurantica
SC,72712,256,short tongued bee,Agoseris aurantica
SC,72712,257,short tongued bee,Agoseris aurantica
SC,72812,213,wasp,Agoseris aurantica
SC,72812,214,short tongued bee,Agoseris aurantica
SC,72812,215,short tongued bee,Agoseris aurantica
SC,72912,83,short tongued bee,Agoseris aurantica
PL,81112,279,butterfly,Agoseris aurantica
PL,81212,294,butterfly,Agoseris aurantica
MM,80212,305,short tongued bee,Agoseris glauca
MM,80312,101,long tongued bee,Agoseris glauca
MM,80312,114,short tongued fly,Agoseris glauca
MM,80412,167,short tongued fly,Agoseris glauca
MM,80412,219,short tongued bee,Agoseris glauca
JC,71512,142,long tongued bee,Allium cernuum
JC,71712,21,long tongued bee,Allium cernuum
JC,71712,173,long tongued bee,Allium cernuum
JC,71712,174,long tongued bee,Allium cernuum
MM,80212,110,short tongued fly,Allium cernuum
MM,80312,206,long tongued bee,Allium cernuum
MM,80412,208,wasp,Allium cernuum
SC,72712,51,short tongued fly,Allium geyer
SC,72912,65,wasp,Allium geyer
MM,80212,114,short tongued bee,Androsace chamaejasme
MM,80212,303,short tongued bee,Androsace chamaejasme
PL,81012,148,long tongued fly,Arenaria lanuginosa
JC,71112,26,long tongued bee,Campanula rotundifolia
JC,71212,7,long tongued bee,Campanula rotundifolia
JC,71212,8,long tongued bee,Campanula rotundifolia
JC,71212,10,long tongued bee,Campanula rotundifolia
JC,71212,17,long tongued bee,Campanula rotundifolia
JC,71212,18,long tongued bee,Campanula rotundifolia
JC,71212,23,long tongued bee,Campanula rotundifolia
JC,71212,32,long tongued bee,Campanula rotundifolia
JC,71212,38,long tongued bee,Campanula rotundifolia
JC,71212,39,long tongued bee,Campanula rotundifolia
JC,71212,104,long tongued bee,Campanula rotundifolia
JC,71212,106,long tongued bee,Campanula rotundifolia
JC,71212,123,long tongued bee,Campanula rotundifolia
JC,71212,132,butterfly,Campanula rotundifolia
JC,71412,14,short tongued fly,Campanula rotundifolia
JC,71412,15,long tongued bee,Campanula rotundifolia
JC,71412,16,long tongued bee,Campanula rotundifolia
JC,71412,17,long tongued bee,Campanula rotundifolia
JC,71412,30,long tongued bee,Campanula rotundifolia
JC,71412,31,long tongued bee,Campanula rotundifolia
JC,71412,32,long tongued bee,Campanula rotundifolia
JC,71412,33,short tongued fly,Campanula rotundifolia
JC,71412,145,long tongued bee,Campanula rotundifolia
JC,71412,146,long tongued bee,Campanula rotundifolia
JC,71512,69,short tongued bee,Campanula rotundifolia
JC,71512,70,long tongued bee,Campanula rotundifolia
JC,71512,91,long tongued bee,Campanula rotundifolia
JC,71512,92,short tongued bee,Campanula rotundifolia
JC,71512,93,short tongued bee,Campanula rotundifolia
JC,71512,112,long tongued bee,Campanula rotundifolia
JC,71512,113,long tongued bee,Campanula rotundifolia
JC,71512,114,long tongued bee,Campanula rotundifolia
JC,71512,156,long tongued bee,Campanula rotundifolia
JC,71512,157,long tongued bee,Campanula rotundifolia
JC,71512,158,long tongued bee,Campanula rotundifolia
JC,71612,63,long tongued bee,Campanula rotundifolia
JC,71612,72,long tongued bee,Campanula rotundifolia
JC,71612,73,long tongued bee,Campanula rotundifolia
JC,71612,74,long tongued bee,Campanula rotundifolia
JC,71612,75,long tongued bee,Campanula rotundifolia
JC,71612,76,long tongued bee,Campanula rotundifolia
JC,71612,77,long tongued bee,Campanula rotundifolia
JC,71612,92,long tongued bee,Campanula rotundifolia
JC,71612,111,long tongued bee,Campanula rotundifolia
JC,71612,112,long tongued bee,Campanula rotundifolia
JC,71612,124,short tongued bee,Campanula rotundifolia
JC,71712,16,long tongued bee,Campanula rotundifolia
JC,71712,35,short tongued fly,Campanula rotundifolia
JC,71712,37,long tongued bee,Campanula rotundifolia
JC,71712,48,long tongued bee,Campanula rotundifolia
JC,71712,74,short tongued bee,Campanula rotundifolia
JC,71712,110,long tongued bee,Campanula rotundifolia
JC,71712,111,long tongued bee,Campanula rotundifolia
JC,71712,112,long tongued bee,Campanula rotundifolia
JC,71712,113,long tongued bee,Campanula rotundifolia
JC,71712,114,long tongued bee,Campanula rotundifolia
JC,71712,115,short tongued bee,Campanula rotundifolia
JC,71712,149,long tongued bee,Campanula rotundifolia
JC,71712,150,long tongued bee,Campanula rotundifolia
JC,71712,151,long tongued bee,Campanula rotundifolia
JC,71712,152,long tongued bee,Campanula rotundifolia
JC,71712,153,long tongued bee,Campanula rotundifolia
JC,71712,154,long tongued bee,Campanula rotundifolia
JC,71712,155,long tongued bee,Campanula rotundifolia
JC,71712,156,long tongued bee,Campanula rotundifolia
JC,71712,157,long tongued bee,Campanula rotundifolia
JC,71712,183,moth,Campanula rotundifolia
SC,72012,197,long tongued bee,Campanula rotundifolia
SC,72012,282,short tongued bee,Campanula rotundifolia
SC,72612,60,short tongued bee,Campanula rotundifolia
SC,72612,61,long tongued bee,Campanula rotundifolia
SC,72612,62,short tongued bee,Campanula rotundifolia
SC,72712,66,long tongued bee,Campanula rotundifolia
SC,72712,67,long tongued bee,Campanula rotundifolia
SC,72712,68,long tongued bee,Campanula rotundifolia
SC,72712,114,short tongued bee,Campanula rotundifolia
SC,72712,115,short tongued bee,Campanula rotundifolia
SC,72712,116,short tongued bee,Campanula rotundifolia
SC,72712,117,long tongued bee,Campanula rotundifolia
SC,72712,118,long tongued bee,Campanula rotundifolia
SC,72712,119,long tongued bee,Campanula rotundifolia
SC,72812,1,long tongued bee,Campanula rotundifolia
SC,72812,115,long tongued bee,Campanula rotundifolia
SC,72812,116,long tongued bee,Campanula rotundifolia
SC,72912,60,short tongued bee,Campanula rotundifolia
SC,72912,61,short tongued bee,Campanula rotundifolia
SC,72912,62,long tongued bee,Campanula rotundifolia
SC,72912,63,long tongued bee,Campanula rotundifolia
SC,72912,92,short tongued bee,Campanula rotundifolia
SC,72912,118,long tongued bee,Campanula rotundifolia
MM,80112,214,long tongued bee,Campanula rotundifolia
MM,80112,215,short tongued fly,Campanula rotundifolia
MM,80212,304,long tongued bee,Campanula rotundifolia
MM,80412,100,long tongued bee,Campanula rotundifolia
MM,80412,101,short tongued fly,Campanula rotundifolia
MM,80412,207,short tongued fly,Campanula rotundifolia
PL,81012,79,long tongued bee,Campanula rotundifolia
PL,81012,80,long tongued bee,Campanula rotundifolia
PL,81012,81,long tongued bee,Campanula rotundifolia
PL,81112,79,long tongued bee,Campanula rotundifolia
PL,81112,80,long tongued bee,Campanula rotundifolia
PL,81112,81,long tongued bee,Campanula rotundifolia
PL,81112,176,long tongued bee,Campanula rotundifolia
PL,81112,177,long tongued bee,Campanula rotundifolia
PL,81212,9,long tongued bee,Campanula rotundifolia
PL,81212,10,long tongued bee,Campanula rotundifolia
PL,81212,11,long tongued bee,Campanula rotundifolia
PL,81212,12,short tongued fly,Campanula rotundifolia
PL,81212,141,long tongued bee,Campanula rotundifolia
PL,81212,142,long tongued bee,Campanula rotundifolia
PL,81212,143,short tongued fly,Campanula rotundifolia
PL,81212,269,long tongued bee,Campanula rotundifolia
PL,81312,136,long tongued bee,Campanula rotundifolia
PL,81012,209,short tongued bee,Castilleja austromontana
CH,82112,0,hummingbird,Castilleja austromontana
CH,82112,0,hummingbird,Castilleja austromontana
CH,82112,0,hummingbird,Castilleja austromontana
CH,82112,0,hummingbird,Castilleja austromontana
CH,82212,0,hummingbird,Castilleja austromontana
CH,82212,0,hummingbird,Castilleja austromontana
CH,82212,0,hummingbird,Castilleja austromontana
CH,82212,0,hummingbird,Castilleja austromontana
JC,71212,53,long tongued bee,Castilleja miniata
JC,71512,110,long tongued bee,Castilleja miniata
JC,71512,120,long tongued bee,Castilleja miniata
JC,71712,109,long tongued bee,Castilleja miniata
SC,72012,0,hummingbird,Castilleja miniata
SC,72012,0,hummingbird,Castilleja miniata
SC,72012,0,hummingbird,Castilleja miniata
SC,72012,0,hummingbird,Castilleja miniata
SC,72112,0,hummingbird,Castilleja miniata
SC,72112,0,hummingbird,Castilleja miniata
SC,72112,0,hummingbird,Castilleja miniata
SC,72712,40,long tongued bee,Castilleja miniata
SC,72712,123,long tongued bee,Castilleja miniata
SC,72912,3,long tongued bee,Castilleja miniata
SC,72912,4,long tongued bee,Castilleja miniata
MM,80112,96,long tongued fly,Cerastium nutans
MM,80112,97,short tongued fly,Cerastium nutans
MM,80112,98,long tongued fly,Cerastium nutans
MM,80112,99,long tongued fly,Cerastium nutans
MM,80112,216,short tongued bee,Cerastium nutans
MM,80112,217,long tongued fly,Cerastium nutans
MM,80112,218,long tongued fly,Cerastium nutans
MM,80112,219,long tongued fly,Cerastium nutans
MM,80112,227,short tongued fly,Cerastium nutans
MM,80112,228,short tongued fly,Cerastium nutans
MM,80112,229,short tongued fly,Cerastium nutans
MM,80112,230,short tongued fly,Cerastium nutans
MM,80112,231,short tongued fly,Cerastium nutans
MM,80112,232,short tongued fly,Cerastium nutans
MM,80112,233,short tongued fly,Cerastium nutans
MM,80112,234,short tongued fly,Cerastium nutans
MM,80112,235,long tongued bee,Cerastium nutans
MM,80112,254,long tongued fly,Cerastium nutans
MM,80212,94,long tongued fly,Cerastium nutans
MM,80212,95,long tongued fly,Cerastium nutans
MM,80212,96,short tongued fly,Cerastium nutans
MM,80212,97,short tongued bee,Cerastium nutans
MM,80212,140,long tongued fly,Cerastium nutans
MM,80212,157,long tongued fly,Cerastium nutans
MM,80212,158,long tongued fly,Cerastium nutans
MM,80212,159,long tongued fly,Cerastium nutans
MM,80212,292,long tongued fly,Cerastium nutans
MM,80212,293,short tongued fly,Cerastium nutans
MM,80212,294,short tongued bee,Cerastium nutans
MM,80312,181,long tongued fly,Cerastium nutans
MM,80312,182,short tongued bee,Cerastium nutans
MM,80312,183,long tongued fly,Cerastium nutans
MM,80312,184,long tongued fly,Cerastium nutans
MM,80312,185,long tongued fly,Cerastium nutans
MM,80312,186,long tongued fly,Cerastium nutans
MM,80312,187,long tongued fly,Cerastium nutans
MM,80312,188,long tongued fly,Cerastium nutans
MM,80312,189,short tongued bee,Cerastium nutans
MM,80312,190,short tongued bee,Cerastium nutans
MM,80412,102,short tongued bee,Cerastium nutans
MM,80412,121,long tongued fly,Cerastium nutans
MM,80412,210,long tongued fly,Cerastium nutans
PL,80912,146,long tongued bee,Cerastium nutans
PL,80912,147,long tongued fly,Cerastium nutans
PL,80912,148,short tongued fly,Cerastium nutans
PL,80912,149,long tongued fly,Cerastium nutans
PL,80912,150,short tongued fly,Cerastium nutans
PL,80912,151,short tongued bee,Cerastium nutans
PL,80912,152,short tongued fly,Cerastium nutans
PL,80912,153,long tongued fly,Cerastium nutans
PL,80912,254,long tongued fly,Cerastium nutans
PL,80912,255,long tongued fly,Cerastium nutans
PL,80912,256,long tongued fly,Cerastium nutans
PL,80912,257,long tongued fly,Cerastium nutans
PL,80912,258,long tongued fly,Cerastium nutans
PL,80912,259,long tongued fly,Cerastium nutans
PL,80912,260,long tongued fly,Cerastium nutans
PL,80912,261,long tongued fly,Cerastium nutans
PL,80912,262,long tongued fly,Cerastium nutans
PL,80912,263,long tongued fly,Cerastium nutans
PL,80912,264,long tongued fly,Cerastium nutans
PL,80912,265,long tongued fly,Cerastium nutans
PL,80912,266,long tongued fly,Cerastium nutans
PL,80912,267,long tongued fly,Cerastium nutans
PL,80912,268,long tongued bee,Cerastium nutans
PL,80912,269,long tongued bee,Cerastium nutans
PL,80912,270,long tongued bee,Cerastium nutans
PL,80912,271,long tongued bee,Cerastium nutans
PL,80912,272,short tongued fly,Cerastium nutans
PL,80912,273,long tongued bee,Cerastium nutans
PL,80912,274,long tongued bee,Cerastium nutans
PL,80912,275,long tongued fly,Cerastium nutans
PL,80912,276,short tongued fly,Cerastium nutans
PL,80912,277,short tongued bee,Cerastium nutans
PL,80912,278,short tongued fly,Cerastium nutans
PL,80912,279,short tongued fly,Cerastium nutans
PL,80912,280,short tongued fly,Cerastium nutans
PL,80912,281,short tongued bee,Cerastium nutans
PL,81012,155,short tongued fly,Cerastium nutans
PL,81012,156,short tongued fly,Cerastium nutans
PL,81012,157,short tongued fly,Cerastium nutans
PL,81012,158,short tongued fly,Cerastium nutans
PL,81012,159,short tongued fly,Cerastium nutans
PL,81012,160,short tongued fly,Cerastium nutans
PL,81012,161,short tongued fly,Cerastium nutans
PL,81012,162,long tongued fly,Cerastium nutans
PL,81012,163,short tongued fly,Cerastium nutans
PL,81012,164,long tongued fly,Cerastium nutans
PL,81012,165,short tongued fly,Cerastium nutans
PL,81012,166,short tongued fly,Cerastium nutans
PL,81012,167,short tongued fly,Cerastium nutans
PL,81012,168,long tongued fly,Cerastium nutans
PL,81012,169,long tongued fly,Cerastium nutans
PL,81012,170,long tongued fly,Cerastium nutans
PL,81012,171,long tongued fly,Cerastium nutans
PL,81012,172,long tongued fly,Cerastium nutans
PL,81012,173,long tongued fly,Cerastium nutans
PL,81012,174,long tongued fly,Cerastium nutans
PL,81012,175,long tongued bee,Cerastium nutans
PL,81012,234,long tongued fly,Cerastium nutans
PL,81012,235,long tongued fly,Cerastium nutans
PL,81012,236,short tongued bee,Cerastium nutans
PL,81012,237,short tongued fly,Cerastium nutans
PL,81012,238,short tongued bee,Cerastium nutans
PL,81012,239,short tongued fly,Cerastium nutans
PL,81012,264,long tongued bee,Cerastium nutans
PL,81012,265,long tongued fly,Cerastium nutans
PL,81012,266,long tongued fly,Cerastium nutans
PL,81012,267,long tongued bee,Cerastium nutans
PL,81012,288,short tongued fly,Cerastium nutans
PL,81012,290,short tongued fly,Cerastium nutans
PL,81112,51,long tongued bee,Cerastium nutans
PL,81112,52,long tongued fly,Cerastium nutans
PL,81112,53,long tongued bee,Cerastium nutans
PL,81112,54,long tongued fly,Cerastium nutans
PL,81112,55,long tongued bee,Cerastium nutans
PL,81112,56,long tongued fly,Cerastium nutans
PL,81112,156,short tongued fly,Cerastium nutans
PL,81112,157,short tongued fly,Cerastium nutans
PL,81112,158,long tongued fly,Cerastium nutans
PL,81112,159,long tongued fly,Cerastium nutans
PL,81112,160,long tongued fly,Cerastium nutans
PL,81112,161,long tongued fly,Cerastium nutans
PL,81112,162,long tongued fly,Cerastium nutans
PL,81112,163,short tongued fly,Cerastium nutans
PL,81112,164,long tongued fly,Cerastium nutans
PL,81112,165,short tongued fly,Cerastium nutans
PL,81112,166,long tongued fly,Cerastium nutans
PL,81112,167,short tongued fly,Cerastium nutans
PL,81112,168,long tongued fly,Cerastium nutans
PL,81112,169,long tongued fly,Cerastium nutans
PL,81112,170,short tongued bee,Cerastium nutans
PL,81112,171,long tongued fly,Cerastium nutans
PL,81112,172,long tongued bee,Cerastium nutans
PL,81112,173,long tongued bee,Cerastium nutans
PL,81112,174,long tongued bee,Cerastium nutans
PL,81112,175,short tongued fly,Cerastium nutans
PL,81112,245,long tongued bee,Cerastium nutans
PL,81112,246,short tongued bee,Cerastium nutans
PL,81112,247,short tongued bee,Cerastium nutans
PL,81112,248,short tongued bee,Cerastium nutans
PL,81212,81,long tongued fly,Cerastium nutans
PL,81212,82,long tongued fly,Cerastium nutans
PL,81212,83,long tongued fly,Cerastium nutans
PL,81212,84,long tongued fly,Cerastium nutans
PL,81212,85,long tongued fly,Cerastium nutans
PL,81212,86,long tongued fly,Cerastium nutans
PL,81212,87,long tongued fly,Cerastium nutans
PL,81212,88,long tongued fly,Cerastium nutans
PL,81212,89,long tongued fly,Cerastium nutans
PL,81212,90,long tongued fly,Cerastium nutans
PL,81212,91,short tongued fly,Cerastium nutans
PL,81212,92,short tongued fly,Cerastium nutans
PL,81212,93,long tongued fly,Cerastium nutans
PL,81212,94,short tongued fly,Cerastium nutans
PL,81212,95,short tongued fly,Cerastium nutans
PL,81212,96,long tongued fly,Cerastium nutans
PL,81212,97,long tongued bee,Cerastium nutans
PL,81212,98,short tongued bee,Cerastium nutans
PL,81212,99,short tongued fly,Cerastium nutans
PL,81212,100,short tongued bee,Cerastium nutans
PL,81212,101,long tongued bee,Cerastium nutans
PL,81212,201,long tongued fly,Cerastium nutans
PL,81212,202,long tongued fly,Cerastium nutans
PL,81212,203,long tongued bee,Cerastium nutans
PL,81212,204,short tongued bee,Cerastium nutans
PL,81212,205,long tongued fly,Cerastium nutans
PL,81212,206,long tongued fly,Cerastium nutans
PL,81312,22,long tongued fly,Cerastium nutans
PL,81312,23,long tongued fly,Cerastium nutans
PL,81312,24,long tongued fly,Cerastium nutans
PL,81312,25,long tongued fly,Cerastium nutans
PL,81312,26,long tongued fly,Cerastium nutans
PL,81312,27,long tongued fly,Cerastium nutans
PL,81312,28,short tongued fly,Cerastium nutans
PL,81312,36,long tongued fly,Cerastium nutans
PL,81312,203,long tongued fly,Cerastium nutans
PL,81312,204,long tongued fly,Cerastium nutans
PL,81312,205,long tongued fly,Cerastium nutans
PL,81312,206,long tongued fly,Cerastium nutans
PL,81312,207,long tongued fly,Cerastium nutans
PL,81312,208,long tongued fly,Cerastium nutans
PL,81312,209,short tongued bee,Cerastium nutans
PL,81312,210,long tongued fly,Cerastium nutans
PL,81312,211,long tongued fly,Cerastium nutans
PL,81312,212,long tongued fly,Cerastium nutans
PL,81312,213,long tongued fly,Cerastium nutans
PL,81312,242,butterfly,Cerastium nutans
CH,81912,17,short tongued fly,Cerastium nutans
CH,82012,27,long tongued fly,Cerastium nutans
CH,82012,28,long tongued fly,Cerastium nutans
CH,82012,29,short tongued fly,Cerastium nutans
CH,82012,30,short tongued fly,Cerastium nutans
CH,82012,31,short tongued bee,Cerastium nutans
CH,82012,32,long tongued fly,Cerastium nutans
CH,82012,63,long tongued fly,Cerastium nutans
CH,82012,126,long tongued fly,Cerastium nutans
CH,82012,127,long tongued fly,Cerastium nutans
CH,82012,138,long tongued fly,Cerastium nutans
CH,82012,139,long tongued fly,Cerastium nutans
CH,82012,140,short tongued fly,Cerastium nutans
CH,82012,141,long tongued fly,Cerastium nutans
CH,82012,142,long tongued fly,Cerastium nutans
CH,82012,143,long tongued fly,Cerastium nutans
CH,82012,200,long tongued fly,Cerastium nutans
CH,82112,38,short tongued bee,Cerastium nutans
CH,82112,39,short tongued bee,Cerastium nutans
CH,82112,40,short tongued fly,Cerastium nutans
CH,82112,41,short tongued fly,Cerastium nutans
CH,82112,42,long tongued fly,Cerastium nutans
CH,82112,43,long tongued fly,Cerastium nutans
CH,82112,44,long tongued fly,Cerastium nutans
CH,82112,45,long tongued fly,Cerastium nutans
CH,82112,46,long tongued fly,Cerastium nutans
CH,82112,47,long tongued fly,Cerastium nutans
CH,82112,48,long tongued fly,Cerastium nutans
CH,82112,86,long tongued fly,Cerastium nutans
CH,82112,87,short tongued bee,Cerastium nutans
CH,82112,88,long tongued fly,Cerastium nutans
CH,82112,89,long tongued fly,Cerastium nutans
CH,82112,90,long tongued fly,Cerastium nutans
CH,82112,91,long tongued fly,Cerastium nutans
CH,82112,92,long tongued fly,Cerastium nutans
CH,82212,87,long tongued fly,Cerastium nutans
PL,81012,343,butterfly,Cirsium arizonicum var. arizonicum
PL,81112,40,long tongued bee,Cirsium arizonicum var. arizonicum
PL,81112,270,butterfly,Cirsium arizonicum var. arizonicum
PL,81312,113,long tongued bee,Cirsium arizonicum var. arizonicum
PL,81312,230,butterfly,Cirsium arizonicum var. arizonicum
PL,81312,237,butterfly,Cirsium arizonicum var. arizonicum
PL,81312,247,butterfly,Cirsium arizonicum var. arizonicum
PL,81312,282,butterfly,Cirsium arizonicum var. arizonicum
PL,81312,284,butterfly,Cirsium arizonicum var. arizonicum
PL,81312,285,butterfly,Cirsium arizonicum var. arizonicum
PL,81312,286,butterfly,Cirsium arizonicum var. arizonicum
CH,82012,59,long tongued bee,Cirsium arizonicum var. arizonicum
CH,82012,179,long tongued bee,Cirsium arizonicum var. arizonicum
CH,82112,108,long tongued bee,Cirsium arizonicum var. arizonicum
CH,82212,39,butterfly,Cirsium arizonicum var. arizonicum
MM,73112,47,long tongued bee,Cirsium neomexicanum
MM,73112,69,long tongued bee,Cirsium neomexicanum
MM,73112,70,long tongued bee,Cirsium neomexicanum
MM,73112,71,long tongued bee,Cirsium neomexicanum
MM,80112,244,moth,Cirsium neomexicanum
MM,80212,299,long tongued bee,Cirsium neomexicanum
MM,80212,300,short tongued fly,Cirsium neomexicanum
MM,80312,96,long tongued bee,Cirsium neomexicanum
MM,80312,205,long tongued bee,Cirsium neomexicanum
MM,80412,75,long tongued bee,Cirsium neomexicanum
MM,80412,76,long tongued bee,Cirsium neomexicanum
MM,80412,77,long tongued bee,Cirsium neomexicanum
MM,80412,78,short tongued fly,Cirsium neomexicanum
MM,80412,245,butterfly,Cirsium neomexicanum
MM,80412,251,moth,Cirsium neomexicanum
PL,80912,114,long tongued bee,Cirsium parryi
PL,80912,115,long tongued bee,Cirsium parryi
PL,80912,116,long tongued bee,Cirsium parryi
PL,80912,117,long tongued bee,Cirsium parryi
PL,80912,118,long tongued bee,Cirsium parryi
PL,80912,119,long tongued bee,Cirsium parryi
PL,80912,120,long tongued bee,Cirsium parryi
PL,80912,121,long tongued bee,Cirsium parryi
PL,80912,122,long tongued bee,Cirsium parryi
PL,80912,123,long tongued bee,Cirsium parryi
PL,80912,124,long tongued bee,Cirsium parryi
PL,80912,125,long tongued bee,Cirsium parryi
PL,80912,126,long tongued bee,Cirsium parryi
PL,80912,127,long tongued bee,Cirsium parryi
PL,80912,128,long tongued bee,Cirsium parryi
PL,80912,129,long tongued bee,Cirsium parryi
PL,80912,130,long tongued bee,Cirsium parryi
PL,80912,131,long tongued bee,Cirsium parryi
PL,80912,132,long tongued bee,Cirsium parryi
PL,80912,133,long tongued bee,Cirsium parryi
PL,80912,134,long tongued bee,Cirsium parryi
PL,80912,135,long tongued bee,Cirsium parryi
PL,80912,247,long tongued bee,Cirsium parryi
PL,80912,248,long tongued bee,Cirsium parryi
PL,80912,249,long tongued bee,Cirsium parryi
PL,80912,250,long tongued bee,Cirsium parryi
PL,80912,251,long tongued bee,Cirsium parryi
PL,80912,252,long tongued bee,Cirsium parryi
PL,80912,253,long tongued bee,Cirsium parryi
PL,80912,354,butterfly,Cirsium parryi
PL,80912,356,moth,Cirsium parryi
PL,80912,357,butterfly,Cirsium parryi
PL,80912,373,butterfly,Cirsium parryi
PL,80912,374,butterfly,Cirsium parryi
PL,80912,375,butterfly,Cirsium parryi
PL,80912,389,butterfly,Cirsium parryi
PL,80912,390,butterfly,Cirsium parryi
PL,80912,399,butterfly,Cirsium parryi
PL,81012,6,long tongued bee,Cirsium parryi
PL,81012,7,long tongued bee,Cirsium parryi
PL,81012,8,long tongued bee,Cirsium parryi
PL,81012,9,short tongued fly,Cirsium parryi
PL,81012,10,long tongued bee,Cirsium parryi
PL,81012,11,long tongued bee,Cirsium parryi
PL,81012,12,long tongued bee,Cirsium parryi
PL,81012,13,wasp,Cirsium parryi
PL,81012,14,wasp,Cirsium parryi
PL,81012,15,long tongued bee,Cirsium parryi
PL,81012,16,long tongued bee,Cirsium parryi
PL,81012,17,long tongued bee,Cirsium parryi
PL,81012,18,moth,Cirsium parryi
PL,81012,216,long tongued bee,Cirsium parryi
PL,81012,217,long tongued bee,Cirsium parryi
PL,81012,218,short tongued bee,Cirsium parryi
PL,81012,219,long tongued bee,Cirsium parryi
PL,81012,220,short tongued fly,Cirsium parryi
