"site","dos","date","number","genID","order","family","genus","subgenus","species","subspecies","sex","fieldPlantID","plantFamily","finalPlantID","samplingDay","sampingRound","collector","determiner","dateDetermined","author","temp.id"
"PL",30,"8/9/12","97","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",1,1,"HLS","","",NA,"PL_080912_97"
"PL",30,"8/9/12","98","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",1,1,"HLS","","",NA,"PL_080912_98"
"PL",30,"8/9/12","99","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",1,1,"HLS","","",NA,"PL_080912_99"
"PL",30,"8/9/12","336","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",1,1,"LCP","","",NA,"PL_080912_336"
"PL",30,"8/9/12","337","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",1,1,"LCP","","",NA,"PL_080912_337"
"PL",30,"8/9/12","338","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",1,1,"LCP","","",NA,"PL_080912_338"
"PL",31,"8/10/12","210","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",2,1,"HLS","","",NA,"PL_081012_210"
"PL",31,"8/10/12","211","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",2,1,"HLS","","",NA,"PL_081012_211"
"PL",32,"8/11/12","61","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",3,1,"HLS","","",NA,"PL_081112_61"
"PL",32,"8/11/12","62","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",3,1,"HLS","","",NA,"PL_081112_62"
"PL",32,"8/11/12","63","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",3,1,"HLS","","",NA,"PL_081112_63"
"PL",32,"8/11/12","64","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",3,1,"HLS","","",NA,"PL_081112_64"
"PL",32,"8/11/12","65","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",3,1,"HLS","","",NA,"PL_081112_65"
"PL",32,"8/11/12","66","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",3,1,"HLS","","",NA,"PL_081112_66"
"PL",32,"8/11/12","67","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",3,1,"HLS","","",NA,"PL_081112_67"
"PL",32,"8/11/12","68","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",3,1,"HLS","","",NA,"PL_081112_68"
"PL",32,"8/11/12","184","bombyliid",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",3,1,"LCP","","",NA,"PL_081112_184"
"PL",32,"8/11/12","185","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",3,1,"LCP","","",NA,"PL_081112_185"
"PL",32,"8/11/12","206","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",3,1,"LCP","","",NA,"PL_081112_206"
"PL",32,"8/11/12","207","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",3,1,"LCP","","",NA,"PL_081112_207"
"PL",32,"8/11/12","208","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",3,1,"LCP","","",NA,"PL_081112_208"
"PL",32,"8/11/12","209","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",3,1,"LCP","","",NA,"PL_081112_209"
"PL",33,"8/12/12","181","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",4,1,"HLS","","",NA,"PL_081212_181"
"PL",33,"8/12/12","182","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",4,1,"HLS","","",NA,"PL_081212_182"
"PL",33,"8/12/12","183","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",4,1,"HLS","","",NA,"PL_081212_183"
"PL",33,"8/12/12","184","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",4,1,"HLS","","",NA,"PL_081212_184"
"PL",33,"8/12/12","185","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",4,1,"HLS","","",NA,"PL_081212_185"
"PL",33,"8/12/12","186","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",4,1,"HLS","","",NA,"PL_081212_186"
"PL",33,"8/12/12","187","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",4,1,"HLS","","",NA,"PL_081212_187"
"PL",33,"8/12/12","287","vanessa",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",4,1,"HLS","","",NA,"PL_081212_287"
"PL",34,"8/13/12","114","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",5,1,"LCP","","",NA,"PL_081312_114"
"PL",34,"8/13/12","115","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",5,1,"LCP","","",NA,"PL_081312_115"
"PL",34,"8/13/12","116","fly",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",5,1,"LCP","","",NA,"PL_081312_116"
"PL",34,"8/13/12","117","wasp",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",5,1,"LCP","","",NA,"PL_081312_117"
"CH",41,"8/20/12","56","beetle",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",3,1,"LCP","","",NA,"CH_082012_56"
"CH",41,"8/20/12","57","beetle",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",3,1,"LCP","","",NA,"CH_082012_57"
"CH",41,"8/20/12","181","beetle",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",3,2,"HLS","","",NA,"CH_082012_181"
"CH",42,"8/21/12","52","wasp","Hymenoptera","Vespidae","Ancistrocerus","","bustamente","","","yarrow","Asteraceae","Achillea millefolium",4,1,"LCP","J.M. Carpenter","2013",NA,"CH_082112_52"
"CH",42,"8/21/12","173","beetle",NA,NA,NA,NA,NA,NA,"","yarrow","Asteraceae","Achillea millefolium",4,2,"HLS","","",NA,"CH_082112_173"
"PL",34,"8/13/12","146","bee","Hymenoptera","Apidae","Anthophora","","californica","","f","spike mint","Lamiaceae","Agastache pallidiflora ssp. neomexicana",5,1,"HLS","J.S. Ascher","2013","Cresson","PL_081312_146"
"PL",34,"8/13/12","145","bee","Hymenoptera","Apidae","Anthophora","","terminalis","","f","spike mint","Lamiaceae","Agastache pallidiflora ssp. neomexicana",5,1,"HLS","J.S. Ascher","2013","Cresson","PL_081312_145"
"MM",23,"8/2/12","107","bumble bee","Hymenoptera","Apidae","Bombus","","flavifrons","","m","spike mint","Lamiaceae","Agastaene pallidiflora ssp. pallidiflora",3,1,"LCP","R.W. Thorp","2013","Cresson","MM_080212_107"
"MM",23,"8/2/12","106","bombyliid",NA,NA,NA,NA,NA,NA,"","spike mint","Lamiaceae","Agastaene pallidiflora ssp. pallidiflora",3,1,"LCP","","",NA,"MM_080212_106"
"MM",23,"8/2/12","306","bombyliid",NA,NA,NA,NA,NA,NA,"","spike mint","Lamiaceae","Agastaene pallidiflora ssp. pallidiflora",3,1,"HLS","","",NA,"MM_080212_306"
"MM",24,"8/3/12","102","bombyliid",NA,NA,NA,NA,NA,NA,"","spike mint","Lamiaceae","Agastaene pallidiflora ssp. pallidiflora",4,1,"HLS","","",NA,"MM_080312_102"
"MM",25,"8/4/12","169","bombyliid",NA,NA,NA,NA,NA,NA,"","spike mint","Lamiaceae","Agastaene pallidiflora ssp. pallidiflora",5,1,"LCP","","",NA,"MM_080412_169"
"SC",13,"7/23/12","11","small dark bee","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","orange dandilion","Asteraceae","Agoseris aurantica",3,1,"HLS","J.S. Ascher","2013",NA,"SC_072312_11"
"SC",13,"7/23/12","12","small dark bee","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","orange dandilion","Asteraceae","Agoseris aurantica",3,1,"HLS","J.S. Ascher","2013",NA,"SC_072312_12"
"SC",16,"7/26/12","114","bee","Hymenoptera","Apidae","Bombus","","ferrides","","f","orange dandilion","Asteraceae","Agoseris aurantica",4,1,"LCP","R.W. Thorp","2013","Fabricius","SC_072612_114"
"SC",16,"7/26/12","59","sweat bee","Hymenoptera","Halictidae","Agapostemen","","angelicus","","f","orange dandilion","Asteraceae","Agoseris aurantica",4,1,"HLS","J.S. Ascher","2013","Cockerell","SC_072612_59"
"SC",16,"7/26/12","75","small dark bee","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","orange dandilion","Asteraceae","Agoseris aurantica",4,1,"HLS","J.S. Ascher","2013",NA,"SC_072612_75"
"SC",17,"7/27/12","256","Sweat bee","Hymenoptera","Halictidae","Agapostemen","","angelicus","","f","Orange dandilion","Asteraceae","Agoseris aurantica",5,1,"LCP","J.S. Ascher","2013","Cockerell","SC_072712_256"
"SC",17,"7/27/12","257","Sweat bee","Hymenoptera","Halictidae","Agapostemen","","angelicus","","f","Orange dandilion","Asteraceae","Agoseris aurantica",5,1,"LCP","J.S. Ascher","2013","Cockerell","SC_072712_257"
"SC",17,"7/27/12","48","small dark bee","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","orange dandilion","Asteraceae","Agoseris aurantica",5,1,"HLS","J.S. Ascher","2013",NA,"SC_072712_48"
"SC",17,"7/27/12","49","small dark bee","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","orange dandilion","Asteraceae","Agoseris aurantica",5,1,"HLS","J.S. Ascher","2013",NA,"SC_072712_49"
"SC",17,"7/27/12","99","small dark bee","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","Orange dandilion","Asteraceae","Agoseris aurantica",5,1,"HLS","J.S. Ascher","2013",NA,"SC_072712_99"
"SC",17,"7/27/12","255","fly","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","Orange dandilion","Asteraceae","Agoseris aurantica",5,1,"LCP","J.S. Ascher","2013",NA,"SC_072712_255"
"SC",18,"7/28/12","213","wasp",NA,NA,NA,NA,NA,NA,"","Orange dandilion","Asteraceae","Agoseris aurantica",6,1,"LCP","","",NA,"SC_072812_213"
"SC",18,"7/28/12","214","small dark bee",NA,NA,NA,NA,NA,NA,"","Orange dandilion","Asteraceae","Agoseris aurantica",6,1,"LCP","","",NA,"SC_072812_214"
"SC",18,"7/28/12","215","small dark bee","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","Orange dandilion","Asteraceae","Agoseris aurantica",6,1,"LCP","J.S. Ascher","2013",NA,"SC_072812_215"
"SC",19,"7/29/12","83","small dark bee",NA,NA,NA,NA,NA,NA,"","Orange dandilion","Asteraceae","Agoseris aurantica",7,1,"LCP","","",NA,"SC_072912_83"
"PL",32,"8/11/12","279","sulfur","Lepidoptera","Pieridae","Colias","","eurytheme","","","orange dandilion","Asteraceae","Agoseris aurantica",3,1,"HLS","L. Ponisio","2013","Boisduval","PL_081112_279"
"PL",33,"8/12/12","294","sulfur","Lepidoptera","Pieridae","Colias","","eurytheme","","","orange dandilion","Asteraceae","Agoseris aurantica",4,1,"LCP","L. Ponisio","2013","Boisduval","PL_081212_294"
"MM",23,"8/2/12","305","small dark bee","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","yellow dandilion","Asteraceae","Agoseris glauca",3,1,"HLS","J.S. Ascher","2013",NA,"MM_080212_305"
"MM",24,"8/3/12","101","bee","Hymenoptera","Andrenidae","Andrena","","apacheorum","","f","yellow dandilion","Asteraceae","Agoseris glauca",4,1,"HLS","J.S. Ascher","2013","Cockerell","MM_080312_101"
"MM",24,"8/3/12","114","syrphid","Diptera","Syrphidae","Copestylum","","avidum","","","yellow dandilion","Asteraceae","Agoseris glauca",4,1,"LCP","M. Hauser","2013","Sacken","MM_080312_114"
"MM",25,"8/4/12","219","small dark bee","Hymenoptera","Halictidae","Lasioglossum","Dialictus","ruidosense","","f","yellow dandilion","Asteraceae","Agoseris glauca",5,1,"LCP","J.S. Ascher","2013",NA,"MM_080412_219"
"MM",25,"8/4/12","167","syrphid","Diptera","Syrphidae","Copestylum","","avidum","","","yellow dandilion","Asteraceae","Agoseris glauca",5,1,"LCP","M. Hauser","2013","Sacken","MM_080412_167"
"JC",5,"7/15/12","142","bumble bee","Hymenoptera","Apidae","Bombus","","flavifrons","","f","onion","Amaryllidaceae","Allium cernuum",4,1,"HLS","R.W. Thorp","2013","Cresson","JC_071512_142"
"JC",7,"7/17/12","173","bumble bee","Hymenoptera","Apidae","Bombus","","flavifrons","","f","red onion","Amaryllidaceae","Allium cernuum",6,1,"LCP","R.W. Thorp","2013","Cresson","JC_071712_173"
"JC",7,"7/17/12","174","bumble bee","Hymenoptera","Apidae","Bombus","","flavifrons","","f","red onion","Amaryllidaceae","Allium cernuum",6,1,"LCP","R.W. Thorp","2013","Cresson","JC_071712_174"
"JC",7,"7/17/12","21","bee",NA,NA,NA,NA,NA,NA,"","red onion","Amaryllidaceae","Allium cernuum",6,1,"HLS","","",NA,"JC_071712_21"
"MM",23,"8/2/12","110","syrphid","Diptera","Syrphidae","Chrysotoxum","","sp.","a","","nodding onion","Amaryllidaceae","Allium cernuum",3,1,"LCP","M. Hauser","2013","","MM_080212_110"
"MM",24,"8/3/12","206","bumble bee","Hymenoptera","Apidae","Bombus","","huntii","","f","nodding onion","Amaryllidaceae","Allium cernuum",4,1,"LCP","R.W. Thorp","2013","Greene","MM_080312_206"
"MM",25,"8/4/12","208","wasp",NA,NA,NA,NA,NA,NA,"","nodding onion","Amaryllidaceae","Allium cernuum",5,1,"LCP","","",NA,"MM_080412_208"
"SC",17,"7/27/12","51","syrphid","Diptera","Syrphidae","Copestylum","","lentum","","","upright onion","Amaryllidaceae","Allium geyer",5,1,"HLS","M. Hauser","2013","Williston","SC_072712_51"
"SC",19,"7/29/12","65","wasp",NA,NA,NA,NA,NA,NA,"","onion","Amaryllidaceae","Allium geyer",7,1,"LCP","","",NA,"SC_072912_65"
"MM",23,"8/2/12","114","small dark bee","Hymenoptera","Halictidae","Lasioglossum","Dialictus","ruidosense","","f","rock jasmine","Primulaceae","Androsace chamaejasme",3,1,"LCP","J.S. Ascher","2013",NA,"MM_080212_114"
"MM",23,"8/2/12","303","small dark bee","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","jasmine","Primulaceae","Androsace chamaejasme",3,1,"HLS","J.S. Ascher","2013",NA,"MM_080212_303"
"PL",31,"8/10/12","148","bombyliid",NA,NA,NA,NA,NA,NA,"","white star","Caryophyllacea","Arenaria lanuginosa",2,1,"LCP","","",NA,"PL_081012_148"
"JC",1,"7/11/12","26","bumble bee","Hymenoptera","Apidae","Bombus","","rufocinctus","","f","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",1,1,"LCP","R.W. Thorp","2013","Cresson","JC_071112_26"
"JC",2,"7/12/12","7","bumble bee","Hymenoptera","Apidae","Bombus","","bifarius","","f","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",2,1,"HLS","R.W. Thorp","2013","Cresson","JC_071212_7"
"JC",2,"7/12/12","17","bumble bee","Hymenoptera","Apidae","Bombus","","bifarius","","f","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",2,1,"HLS","R.W. Thorp","2013","Cresson","JC_071212_17"
"JC",2,"7/12/12","38","bumble bee","Hymenoptera","Halictidae","Agapostemen","","angelicus","","f","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",2,1,"LCP","J.S. Ascher","2013","Cresson","JC_071212_38"
"JC",2,"7/12/12","39","bumble bee","Hymenoptera","Apidae","Bombus","","rufocinctus","","f","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",2,1,"LCP","R.W. Thorp","2013","Cresson","JC_071212_39"
"JC",2,"7/12/12","104","bumble bee","Hymenoptera","Apidae","Bombus","","rufocinctus","","f","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",2,1,"LCP","R.W. Thorp","2013","Cresson","JC_071212_104"
"JC",2,"7/12/12","123","bumble bee","Hymenoptera","Apidae","Bombus","","rufocinctus","","f","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",2,1,"HLS","R.W. Thorp","2013","Cresson","JC_071212_123"
"JC",2,"7/12/12","23","bee","Hymenoptera","Halictidae","Dufourea","","fimbriata","","f","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",2,1,"HLS","J.S. Ascher","2013","Cresson","JC_071212_23"
"JC",2,"7/12/12","8","bee","Hymenoptera","Apidae","Melissodes","Eumelissodes","tristis","","f","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",2,1,"HLS","","2013",NA,"JC_071212_8"
"JC",2,"7/12/12","10","bee","Hymenoptera","Apidae","Melissodes","Eumelissodes","tristis","","f","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",2,1,"HLS","","2013",NA,"JC_071212_10"
"JC",2,"7/12/12","18","bee","Hymenoptera","Apidae","Melissodes","Eumelissodes","tristis","","f","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",2,1,"HLS","","2013",NA,"JC_071212_18"
"JC",2,"7/12/12","32","bee",NA,NA,NA,NA,NA,NA,"","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",2,1,"LCP","","",NA,"JC_071212_32"
"JC",2,"7/12/12","106","bee","Hymenoptera","Apidae","Melissodes","Eumelissodes","tristis","","f","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",2,1,"HLS","","2013",NA,"JC_071212_106"
"JC",2,"7/12/12","132","pierid",NA,NA,NA,NA,NA,NA,"","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",2,1,"HLS","","",NA,"JC_071212_132"
"JC",4,"7/14/12","16","bee","Hymenoptera","Apidae","Anthophora","","montana","","m","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",3,1,"LCP","J.S. Ascher","2013","Cresson","JC_071412_16"
"JC",4,"7/14/12","15","bumble bee","Hymenoptera","Apidae","Bombus","","rufocinctus","","f","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",3,1,"LCP","R.W. Thorp","2013","Cresson","JC_071412_15"
"JC",4,"7/14/12","17","bumble bee","Hymenoptera","Apidae","Bombus","","rufocinctus","","f","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",3,1,"LCP","R.W. Thorp","2013","Cresson","JC_071412_17"
"JC",4,"7/14/12","30","bumble bee","Hymenoptera","Apidae","Bombus","","rufocinctus","","f","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",3,1,"LCP","R.W. Thorp","2013","Cresson","JC_071412_30"
"JC",4,"7/14/12","31","bumble bee","Hymenoptera","Apidae","Bombus","","rufocinctus","","f","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",3,1,"LCP","R.W. Thorp","2013","Cresson","JC_071412_31"
"JC",4,"7/14/12","32","bumble bee","Hymenoptera","Apidae","Bombus","","rufocinctus","","f","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",3,1,"LCP","R.W. Thorp","2013","Cresson","JC_071412_32"
"JC",4,"7/14/12","145","bumble bee","Hymenoptera","Apidae","Bombus","","rufocinctus","","f","Campanula rotundifolia","Campanulaceae","Campanula rotundifolia",3,1,"HLS","R.W. Thorp","2013","Cresson","JC_071412_145"
