site,date,number,genID,genSp,sex,fieldPlantID,finalPlantID,samplingDay,sampingRound,collector,determiner,dateDetermined,notes
CH,8/20/12,15,fly,,,giant white carrot 2,Psacalium decompositum,3,1,LCP,,,
CH,8/20/12,16,syrphid,,,giant white carrot 2,Psacalium decompositum,3,1,LCP,,,
CH,8/20/12,17,fly,,,giant white carrot 2,Psacalium decompositum,3,1,LCP,,,
CH,8/20/12,18,wasp,,,giant white carrot 2,Psacalium decompositum,3,1,LCP,,,
CH,8/20/12,19,wasp,,,giant white carrot 2,Psacalium decompositum,3,1,LCP,,,
CH,8/20/12,20,wasp,,,giant white carrot 2,Psacalium decompositum,3,1,LCP,,,
CH,8/20/12,21,wasp,,,giant white carrot 2,Psacalium decompositum,3,1,LCP,,,
CH,8/20/12,22,bee,,,yellow aster,Heliomeris multiflora var. nevadensis,3,1,LCP,,,
CH,8/20/12,23,bee,,,yellow aster,Heliomeris multiflora var. nevadensis,3,1,LCP,,,
CH,8/20/12,24,wasp,,,yellow aster,Heliomeris multiflora var. nevadensis,3,1,LCP,,,
CH,8/20/12,25,bee,,,yellow aster,Heliomeris multiflora var. nevadensis,3,1,LCP,,,
CH,8/20/12,26,bumble bee,,,yellow aster,Heliomeris multiflora var. nevadensis,3,1,LCP,,,
CH,8/20/12,27,bombiliid,,,little pink,Ceratium nutans,3,1,LCP,,,
CH,8/20/12,28,bombiliid,,,little pink,Ceratium nutans,3,1,LCP,,,
CH,8/20/12,29,syrphid,,,little pink,Ceratium nutans,3,1,LCP,,,
CH,8/20/12,30,syrphid,,,little pink,Ceratium nutans,3,1,LCP,,,
CH,8/20/12,31,small dark bee,,,little pink,Ceratium nutans,3,1,LCP,,,
CH,8/20/12,32,bombiliid,,,little pink,Ceratium nutans,3,1,LCP,,,
CH,8/20/12,33,bee,,,beebalm,Monarda citriodora spp. austromontana,3,1,LCP,,,
CH,8/20/12,34,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,1,LCP,,,
CH,8/20/12,35,small dark bee,,,beebalm,Monarda citriodora spp. austromontana,3,1,LCP,,,
CH,8/20/12,36,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,1,LCP,,,
CH,8/20/12,37,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,1,LCP,,,
CH,8/20/12,38,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,1,LCP,,,
CH,8/20/12,39,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,1,LCP,,,
CH,8/20/12,40,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,1,LCP,,,
CH,8/20/12,41,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,1,LCP,,,
CH,8/20/12,42,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,1,LCP,,,
CH,8/20/12,43,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,1,LCP,,,
CH,8/20/12,44,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,1,LCP,,,
CH,8/20/12,45,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,1,LCP,,,
CH,8/20/12,46,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,1,LCP,,,
CH,8/20/12,47,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,1,LCP,,,
CH,8/20/12,48,syrphid,,,purple flower,Glandularia bipinnatifida,3,1,LCP,,,
CH,8/20/12,49,bumble bee,,,purple flower,Glandularia bipinnatifida,3,1,LCP,,,
CH,8/20/12,50,fly,,,big yellow aster,Hymenoxys hoopesii,3,1,LCP,,,
CH,8/20/12,51,fly,,,big yellow aster,Hymenoxys hoopesii,3,1,LCP,,,
CH,8/20/12,52,bumble bee,,,vetch,Vicia americana,3,1,LCP,,,
CH,8/20/12,53,bee,,,yellow flax,Linum neomexicanum,3,1,LCP,,,
CH,8/20/12,54,bee,,,yellow flax,Linum neomexicanum,3,1,LCP,,,
CH,8/20/12,55,bee,,,yellow flax,Linum neomexicanum,3,1,LCP,,,
CH,8/20/12,56,beetle,,,yarrow,Achillea millefolium,3,1,LCP,,,
CH,8/20/12,57,beetle,,,yarrow,Achillea millefolium,3,1,LCP,,,
CH,8/20/12,58,fly,,,senicio,Senecio eremophilus,3,1,LCP,,,
CH,8/20/12,59,bumble bee,,,purple thistle,Cirsium arizonicum var. arizonicum,3,1,LCP,,,
CH,8/20/12,60,bumble bee,,,clover,Trifolium pinetorum,3,2,LCP,,,
CH,8/20/12,61,bumble bee,,,clover,Trifolium pinetorum,3,2,LCP,,,
CH,8/20/12,62,bumble bee,,,clover,Trifolium pinetorum,3,2,LCP,,,
CH,8/20/12,63,bombiliid,,,little pink,Ceratium nutans,3,2,LCP,,,
CH,8/20/12,64,bumble bee,,,purple flower,Glandularia bipinnatifida,3,2,LCP,,,
CH,8/20/12,65,honey bee,Apis mellifera,,yellow flax,Linum neomexicanum,3,2,LCP,,,
CH,8/20/12,66,wasp,,,yellow aster,Heliomeris multiflora var. nevadensis,3,2,LCP,,,
CH,8/20/12,67,beetle,,,yellow aster,Heliomeris multiflora var. nevadensis,3,2,LCP,,,
CH,8/20/12,68,honey bee,Apis mellifera,,yellow aster,Heliomeris multiflora var. nevadensis,3,2,LCP,,,
CH,8/20/12,69,fly,,,yellow aster,Heliomeris multiflora var. nevadensis,3,2,LCP,,,
CH,8/20/12,70,beetle,,,big yellow aster,Hymenoxys hoopesii,3,2,LCP,,,
CH,8/20/12,71,beetle,,,big yellow aster,Hymenoxys hoopesii,3,2,LCP,,,
CH,8/20/12,72,bee,,,big yellow aster,Hymenoxys hoopesii,3,2,LCP,,,
CH,8/20/12,73,wasp,,,giant white carrot 2,Psacalium decompositum,3,2,LCP,,,
CH,8/20/12,74,wasp,,,giant white carrot 2,Psacalium decompositum,3,2,LCP,,,
CH,8/20/12,75,fly,,,giant white carrot 2,Psacalium decompositum,3,2,LCP,,,
CH,8/20/12,76,wasp,,,giant white carrot 2,Psacalium decompositum,3,2,LCP,,,
CH,8/20/12,77,fly,,,giant white carrot 2,Psacalium decompositum,3,2,LCP,,,
CH,8/20/12,78,wasp,,,giant white carrot 2,Psacalium decompositum,3,2,LCP,,,
CH,8/20/12,79,wasp,,,giant white carrot 2,Psacalium decompositum,3,2,LCP,,,
CH,8/20/12,80,wasp,,,giant white carrot 2,Psacalium decompositum,3,2,LCP,,,
CH,8/20/12,81,wasp,,,giant white carrot 2,Psacalium decompositum,3,2,LCP,,,
CH,8/20/12,82,fly,,,giant white carrot 2,Psacalium decompositum,3,2,LCP,,,
CH,8/20/12,83,wasp,,,giant white carrot 2,Psacalium decompositum,3,2,LCP,,,
CH,8/20/12,84,bombiliid,,,giant white carrot 2,Psacalium decompositum,3,2,LCP,,,
CH,8/20/12,85,honey bee,Apis mellifera,,giant white carrot 2,Psacalium decompositum,3,1,HLS,,,
CH,8/20/12,86,honey bee,Apis mellifera,,giant white carrot 2,Psacalium decompositum,3,1,HLS,,,
CH,8/20/12,87,honey bee,Apis mellifera,,giant white carrot 2,Psacalium decompositum,3,1,HLS,,,
CH,8/20/12,88,honey bee,Apis mellifera,,giant white carrot 2,Psacalium decompositum,3,1,HLS,,,
CH,8/20/12,89,honey bee,Apis mellifera,,giant white carrot 2,Psacalium decompositum,3,1,HLS,,,
CH,8/20/12,90,small dark bee,,,giant white carrot 2,Psacalium decompositum,3,1,HLS,,,
CH,8/20/12,91,turantula wasp,,,giant white carrot 2,Psacalium decompositum,3,1,HLS,,,
CH,8/20/12,92,turantula wasp,,,giant white carrot 2,Psacalium decompositum,3,1,HLS,,,
CH,8/20/12,93,wasp,,,giant white carrot 2,Psacalium decompositum,3,1,HLS,,,
CH,8/20/12,94,fly,,,giant white carrot 2,Psacalium decompositum,3,1,HLS,,,
CH,8/20/12,95,wasp,,,giant white carrot 2,Psacalium decompositum,3,1,HLS,,,
CH,8/20/12,96,fly,,,giant white carrot 2,Psacalium decompositum,3,1,HLS,,,
CH,8/20/12,97,wasp,,,giant white carrot 2,Psacalium decompositum,3,1,HLS,,,
CH,8/20/12,98,fly,,,giant white carrot 2,Psacalium decompositum,3,1,HLS,,,
CH,8/20/12,99,fly,,,giant white carrot 2,Psacalium decompositum,3,1,HLS,,,
CH,8/20/12,100,bombiliid,,,giant white carrot 2,Psacalium decompositum,3,1,HLS,,,
CH,8/20/12,101,wasp,,,giant white carrot 2,Psacalium decompositum,3,1,HLS,,,
CH,8/20/12,102,fly,,,giant white carrot 2,Psacalium decompositum,3,1,HLS,,,
CH,8/20/12,103,syrphid,,,giant white carrot 2,Psacalium decompositum,3,1,HLS,,,
CH,8/20/12,104,bombiliid,,,giant white carrot 2,Psacalium decompositum,3,1,HLS,,,
CH,8/20/12,105,syrphid,,,giant white carrot 2,Psacalium decompositum,3,1,HLS,,,
CH,8/20/12,106,syrphid,,,giant white carrot 2,Psacalium decompositum,3,1,HLS,,,
CH,8/20/12,107,honey bee,,,beebalm,Monarda citriodora spp. austromontana,3,1,HLS,,,
CH,8/20/12,108,honey bee,,,beebalm,Monarda citriodora spp. austromontana,3,1,HLS,,,
CH,8/20/12,109,honey bee,,,beebalm,Monarda citriodora spp. austromontana,3,1,HLS,,,
CH,8/20/12,110,honey bee,,,beebalm,Monarda citriodora spp. austromontana,3,1,HLS,,,
CH,8/20/12,111,honey bee,,,beebalm,Monarda citriodora spp. austromontana,3,1,HLS,,,
CH,8/20/12,112,honey bee,,,beebalm,Monarda citriodora spp. austromontana,3,1,HLS,,,
CH,8/20/12,113,bumble bee,,,hooker's evening primrose,Oenothera elata,3,1,HLS,,,
CH,8/20/12,114,bee,,,hooker's evening primrose,Oenothera elata,3,1,HLS,,,
CH,8/20/12,115,bumble bee,,,hooker's evening primrose,Oenothera elata,3,1,HLS,,,
CH,8/20/12,116,sweat bee,,,hooker's evening primrose,Oenothera elata,3,1,HLS,,,
CH,8/20/12,117,fly,,,yellow aster,Heliomeris multiflora var. nevadensis,3,1,HLS,,,
CH,8/20/12,118,beetle,,,yellow aster,Heliomeris multiflora var. nevadensis,3,1,HLS,,,
CH,8/20/12,119,bee,,,yellow aster,Heliomeris multiflora var. nevadensis,3,1,HLS,,,
CH,8/20/12,120,bee,,,yellow aster,Heliomeris multiflora var. nevadensis,3,1,HLS,,,
CH,8/20/12,121,wasp,,,giant white carrot 2,Psacalium decompositum,3,1,HLS,,,
CH,8/20/12,122,fly,,,giant white carrot 2,Psacalium decompositum,3,1,HLS,,,
CH,8/20/12,123,turantula wasp,,,giant white carrot 2,Psacalium decompositum,3,1,HLS,,,
CH,8/20/12,124,bumble bee,,,vetch,Vicia americana,3,1,HLS,,,
CH,8/20/12,125,bumble bee,,,vetch,Vicia americana,3,1,HLS,,,
CH,8/20/12,126,bombiliid,,,little pink,Ceratium nutans,3,1,HLS,,,
CH,8/20/12,127,bombiliid,,,little pink,Ceratium nutans,3,1,HLS,,,
CH,8/20/12,128,bee,,,big yellow aster,Hymenoxys hoopesii,3,1,HLS,,,
CH,8/20/12,129,beetle,,,big yellow aster,Hymenoxys hoopesii,3,1,HLS,,,
CH,8/20/12,130,bumble bee,,,clover,Trifolium pinetorum,3,1,HLS,,,
CH,8/20/12,131,bumble bee,,,clover,Trifolium pinetorum,3,1,HLS,,,
CH,8/20/12,132,bombiliid,,,yellow flax,Linum neomexicanum,3,2,HLS,,,
CH,8/20/12,133,bee,,,big yellow aster,Hymenoxys hoopesii,3,2,HLS,,,
CH,8/20/12,134,fly,,,big yellow aster,Hymenoxys hoopesii,3,2,HLS,,,
CH,8/20/12,135,carter bee,,,purple flower,Glandularia bipinnatifida,3,2,HLS,,,
CH,8/20/12,136,bumble bee,,,purple flower,Glandularia bipinnatifida,3,2,HLS,,,
CH,8/20/12,137,bee,,,purple flower,Glandularia bipinnatifida,3,2,HLS,,,
CH,8/20/12,138,bombiliid,,,little pink,Ceratium nutans,3,2,HLS,,,
CH,8/20/12,139,bombiliid,,,little pink,Ceratium nutans,3,2,HLS,,,
CH,8/20/12,140,fly,,,little pink,Ceratium nutans,3,2,HLS,,,
CH,8/20/12,141,bombiliid,,,little pink,Ceratium nutans,3,2,HLS,,,
CH,8/20/12,142,bombiliid,,,little pink,Ceratium nutans,3,2,HLS,,,
CH,8/20/12,143,bombiliid,,,little pink,Ceratium nutans,3,2,HLS,,,
CH,8/20/12,144,wasp,,,giant white carrot 2,Psacalium decompositum,3,2,HLS,,,
CH,8/20/12,145,wasp,,,giant white carrot 2,Psacalium decompositum,3,2,HLS,,,
CH,8/20/12,146,fly,,,giant white carrot 2,Psacalium decompositum,3,2,HLS,,,
CH,8/20/12,147,wasp,,,giant white carrot 2,Psacalium decompositum,3,2,HLS,,,
CH,8/20/12,148,fly,,,giant white carrot 2,Psacalium decompositum,3,2,HLS,,,
CH,8/20/12,149,fly,,,giant white carrot 2,Psacalium decompositum,3,2,HLS,,,
CH,8/20/12,150,wasp,,,giant white carrot 2,Psacalium decompositum,3,2,HLS,,,
CH,8/20/12,151,fly,,,giant white carrot 2,Psacalium decompositum,3,2,HLS,,,
CH,8/20/12,152,moth,,,clover,Trifolium pinetorum,3,2,HLS,,,
CH,8/20/12,153,wasp,,,giant white carrot 2,Psacalium decompositum,3,2,HLS,,,
CH,8/20/12,154,fly,,,giant white carrot 2,Psacalium decompositum,3,2,HLS,,,
CH,8/20/12,155,wasp,,,giant white carrot 2,Psacalium decompositum,3,2,HLS,,,
CH,8/20/12,156,honey bee,Apis mellifera,,giant white carrot 2,Psacalium decompositum,3,2,HLS,,,
CH,8/20/12,157,honey bee,Apis mellifera,,giant white carrot 2,Psacalium decompositum,3,2,HLS,,,
CH,8/20/12,158,honey bee,Apis mellifera,,giant white carrot 2,Psacalium decompositum,3,2,HLS,,,
CH,8/20/12,159,honey bee,Apis mellifera,,giant white carrot 2,Psacalium decompositum,3,2,HLS,,,
CH,8/20/12,160,honey bee,Apis mellifera,,giant white carrot 2,Psacalium decompositum,3,2,HLS,,,
CH,8/20/12,161,fly,,,giant white carrot 2,Psacalium decompositum,3,2,HLS,,,
CH,8/20/12,162,wasp,,,giant white carrot 2,Psacalium decompositum,3,2,HLS,,,
CH,8/20/12,163,california sisters,,,giant white carrot 2,Psacalium decompositum,3,1,LCP,,,
CH,8/20/12,164,california sisters,,,giant white carrot 2,Psacalium decompositum,3,1,LCP,,,
CH,8/20/12,165,polygonia,,,giant white carrot 2,Psacalium decompositum,3,1,LCP,,,
CH,8/20/12,166,polygonia,,,giant white carrot 2,Psacalium decompositum,3,1,LCP,,,
CH,8/20/12,167,vanessa,,,giant white carrot 2,Psacalium decompositum,3,1,LCP,,,
CH,8/20/12,168,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,2,HLS,,,
CH,8/20/12,169,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,2,HLS,,,
CH,8/20/12,170,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,2,HLS,,,
CH,8/20/12,171,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,2,HLS,,,
CH,8/20/12,172,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,2,HLS,,,
CH,8/20/12,173,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,2,HLS,,,
CH,8/20/12,174,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,2,HLS,,,
CH,8/20/12,175,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,2,HLS,,,
CH,8/20/12,176,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,2,HLS,,,
CH,8/20/12,177,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,2,HLS,,,
CH,8/20/12,178,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,2,HLS,,,
CH,8/20/12,179,bumble bee,,,purple thistle,Cirsium arizonicum var. arizonicum,3,2,HLS,,,
CH,8/20/12,180,honey bee,Apis mellifera,,senicio,Senecio eremophilus,3,2,HLS,,,
CH,8/20/12,181,beetle,,,yarrow,Achillea millefolium,3,2,HLS,,,
CH,8/20/12,182,frittlry,,,purple flower,Glandularia bipinnatifida,3,1,LCP,,,
CH,8/20/12,183,vanessa,,,purple flower,Glandularia bipinnatifida,3,1,LCP,,,
CH,8/20/12,184,vanessa,,,purple flower,Glandularia bipinnatifida,3,1,LCP,,,
CH,8/20/12,185,frittlry,,,purple flower,Glandularia bipinnatifida,3,1,LCP,,,
CH,8/20/12,186,frittlry,,,yellow aster,Heliomeris multiflora var. nevadensis,3,1,LCP,,,
CH,8/20/12,187,vanessa,,,yellow aster,Heliomeris multiflora var. nevadensis,3,1,LCP,,,
CH,8/20/12,188,vanessa,,,purple flower,Glandularia bipinnatifida,3,2,LCP,,,
CH,8/20/12,189,sulfur,Colias eurytheme,,purple flower,Glandularia bipinnatifida,3,2,LCP,,,
CH,8/20/12,190,blue,,,tiny white flower,,3,1,LCP,,,
CH,8/20/12,191,blue,,,senicio,Senecio eremophilus,3,1,LCP,,,
CH,8/20/12,192,california sisters,,,giant white carrot 2,Psacalium decompositum,3,1,HLS,,,
CH,8/20/12,193,vanessa,,,purple flower,Glandularia bipinnatifida,3,1,HLS,,,
CH,8/20/12,194,vanessa,,,purple flower,Glandularia bipinnatifida,3,2,HLS,,,
CH,8/20/12,195,california sisters,,,giant white carrot 2,Psacalium decompositum,3,2,HLS,,,
CH,8/20/12,196,skipper,,,cosmos,Cosmos parviflorus,3,2,LCP,,,
CH,8/20/12,197,vanessa,,,purple flower,Glandularia bipinnatifida,3,1,HLS,,,
CH,8/20/12,198,california sisters,,,giant white carrot 2,Psacalium decompositum,3,2,HLS,,,
CH,8/20/12,199,blu,,,purple flower,Glandularia bipinnatifida,3,2,HLS,,,
CH,8/20/12,200,bombiliid,,,little pink,Ceratium nutans,3,1,HLS,,,
CH,8/20/12,201,blue,,,purple flower,Glandularia bipinnatifida,3,2,HLS,,,
CH,8/20/12,202,wasp,,,giant white carrot 2,Psacalium decompositum,3,2,HLS,,,
CH,8/20/12,203,honey bee,Apis mellifera,,giant white carrot 2,Psacalium decompositum,3,2,LCP,,,
CH,8/20/12,204,honey bee,Apis mellifera,,giant white carrot 2,Psacalium decompositum,3,2,LCP,,,
CH,8/20/12,205,honey bee,Apis mellifera,,giant white carrot 2,Psacalium decompositum,3,2,LCP,,,
CH,8/20/12,206,honey bee,Apis mellifera,,giant white carrot 2,Psacalium decompositum,3,2,LCP,,,
CH,8/20/12,207,honey bee,Apis mellifera,,giant white carrot 2,Psacalium decompositum,3,2,LCP,,,
CH,8/20/12,208,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,2,LCP,,,
CH,8/20/12,209,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,2,LCP,,,
CH,8/20/12,210,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,2,LCP,,,
CH,8/20/12,211,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,2,LCP,,,
CH,8/20/12,212,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,2,LCP,,,
CH,8/20/12,213,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,2,LCP,,,
CH,8/20/12,214,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,2,LCP,,,
CH,8/20/12,215,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,2,LCP,,,
CH,8/20/12,216,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,2,LCP,,,
CH,8/20/12,217,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,2,LCP,,,
CH,8/20/12,218,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,2,LCP,,,
CH,8/20/12,219,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,2,LCP,,,
CH,8/20/12,220,honey bee,Apis mellifera,,clover,Trifolium pinetorum,3,2,LCP,,,
CH,8/20/12,221,honey bee,Apis mellifera,,clover,Trifolium pinetorum,3,2,LCP,,,
CH,8/20/12,222,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,3,1,LCP,,,
CH,8/21/12,1,turantula wasp,,,giant white carrot 2,Psacalium decompositum,4,1,LCP,,,
CH,8/21/12,2,turantula wasp,,,giant white carrot 2,Psacalium decompositum,4,1,LCP,,,
CH,8/21/12,3,turantula wasp,,,giant white carrot 2,Psacalium decompositum,4,1,LCP,,,
CH,8/21/12,4,small dark bee,,,giant white carrot 2,Psacalium decompositum,4,1,LCP,,,
CH,8/21/12,5,fly,,,giant white carrot 2,Psacalium decompositum,4,1,LCP,,,
CH,8/21/12,6,fly,,,giant white carrot 2,Psacalium decompositum,4,1,LCP,,,
CH,8/21/12,7,small dark bee,,,giant white carrot 2,Psacalium decompositum,4,1,LCP,,,
CH,8/21/12,8,small dark bee,,,giant white carrot 2,Psacalium decompositum,4,1,LCP,,,
CH,8/21/12,9,small dark bee,,,giant white carrot 2,Psacalium decompositum,4,1,LCP,,,
CH,8/21/12,10,honey bee,,,giant white carrot 2,Psacalium decompositum,4,1,LCP,,,
CH,8/21/12,11,honey bee,,,giant white carrot 2,Psacalium decompositum,4,1,LCP,,,
CH,8/21/12,12,honey bee,,,giant white carrot 2,Psacalium decompositum,4,1,LCP,,,
CH,8/21/12,13,honey bee,,,giant white carrot 2,Psacalium decompositum,4,1,LCP,,,
CH,8/21/12,14,wasp,,,giant white carrot 2,Psacalium decompositum,4,1,LCP,,,
CH,8/21/12,15,syrphid,,,giant white carrot 2,Psacalium decompositum,4,1,LCP,,,
CH,8/21/12,16,fly,,,giant white carrot 2,Psacalium decompositum,4,1,LCP,,,
CH,8/21/12,17,wasp,,,giant white carrot 2,Psacalium decompositum,4,1,LCP,,,
CH,8/21/12,18,wasp,,,giant white carrot 2,Psacalium decompositum,4,1,LCP,,,
CH,8/21/12,19,wasp,,,giant white carrot 2,Psacalium decompositum,4,1,LCP,,,
CH,8/21/12,20,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,4,1,LCP,,,
CH,8/21/12,21,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,4,1,LCP,,,
CH,8/21/12,22,honey bee,Apis mellifera,,beebalm,Monarda citriodora spp. austromontana,4,1,LCP,,,
