site,date,number,genID,genSp,sex,fieldPlantID,finalPlantID,samplingDay,sampingRound,collector,determiner,dateDetermined,notes
JC,71212,32,bee,,,Campanula rotundifolia,Campanula rotundifolia,2,1,LCP,,,
JC,71212,33,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,34,bombyliid,,,"smooth, small Erigeron",Erigeron formosissimus,2,1,LCP,,,
JC,71212,35,fly,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,36,bumble bee,,,senecio,Senecio eremophilus,2,1,LCP,,,
JC,71212,37,bumble bee,,,red penstemen,Penstemon barbatus,2,1,LCP,,,
JC,71212,38,bumble bee,,,Campanula rotundifolia,Campanula rotundifolia,2,1,LCP,,,
JC,71212,39,bumble bee,,,Campanula rotundifolia,Campanula rotundifolia,2,1,LCP,,,
JC,71212,40,bumble bee,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,41,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,42,syrphid,,,Hymenopappus newberryi,Hymenopappus newberryi,2,1,LCP,,,
JC,71212,43,bumble bee,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,44,bumble bee,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,45,syrphid,,,yarrow,Achillea millefolium,2,1,LCP,,,
JC,71212,46,bombyliid,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,47,small dark bee,,,pink,Eremogone fendleri,2,1,LCP,,,
JC,71212,48,bombyliid,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,49,sweat bee,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,50,syrphid,,,Hymenopappus newberryi,Hymenopappus newberryi,2,1,LCP,,,
JC,71212,51,small dark bee,,,Viguiera multiflora,Viguiera multiflora,2,1,LCP,,,
JC,71212,52,small dark bee,,,pink,Eremogone fendleri,2,1,LCP,,,
JC,71212,53,bumble bee,,,Red paint brush,Castilleja miniata,2,1,LCP,,,
JC,71212,54,syrphid,,,Potentilla hippiana,Potentilla hippiana,2,1,LCP,,,
JC,71212,55,wasp,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,56,beetle,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,57,bumble bee,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,58,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,59,bombyliid,,,Potentilla hippiana,Potentilla hippiana,2,1,LCP,,,
JC,71212,60,fly,,,Potentilla hippiana,Potentilla hippiana,2,1,LCP,,,
JC,71212,61,bombyliid,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,62,bombyliid,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,63,syrphid,,,Hymenopappus newberryi,Hymenopappus newberryi,2,1,LCP,,,
JC,71212,64,sweat bee,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,65,bumble bee,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,66,bombyliid,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,67,bumble bee,,,Potentilla fruticosa,Potentilla fruticosa,2,1,LCP,,,
JC,71212,68,bombyliid,,,Potentilla hippiana,Potentilla hippiana,2,1,LCP,,,
JC,71212,69,bumble bee,,,Potentilla hippiana,Potentilla hippiana,2,1,LCP,,,
JC,71212,70,syrphid,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,71,bumble bee,,,Potentilla hippiana,Potentilla hippiana,2,1,LCP,,,
JC,71212,72,sweat bee,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,73,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,74,sweat bee,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,75,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,76,fly,,,Hymenopappus newberryi,Hymenopappus newberryi,2,1,LCP,,,
JC,71212,77,bumble bee,,,senecio,Senecio eremophilus,2,1,LCP,,,
JC,71212,78,wasp,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,79,wasp,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,80,wasp,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,81,wasp,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,82,wasp,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,83,bumble bee,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,84,bumble bee,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,85,bombyliid,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,86,small dark bee,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,87,fly,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,88,fly,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,89,small dark bee,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,90,fly,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,91,fly,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,92,syrphid,,,Hymenopappus newberryi,Hymenopappus newberryi,2,1,LCP,,,
JC,71212,93,syrphid,,,Hymenopappus newberryi,Hymenopappus newberryi,2,1,LCP,,,
JC,71212,94,syrphid,,,Hymenopappus newberryi,Hymenopappus newberryi,2,1,LCP,,,
JC,71212,95,small dark bee,,,Ipomopsis aggregata,Ipomopsis aggregata,2,1,LCP,,,
JC,71212,96,syrphid,,,Potentilla hippiana,Potentilla hippiana,2,1,LCP,,,
JC,71212,97,bumble bee,,,Potentilla hippiana,Potentilla hippiana,2,1,LCP,,,
JC,71212,98,bumble bee,,,Potentilla hippiana,Potentilla hippiana,2,1,LCP,,,
JC,71212,99,bombyliid,,,Potentilla hippiana,Potentilla hippiana,2,1,LCP,,,
JC,71212,100,bombyliid,,,Potentilla hippiana,Potentilla hippiana,2,1,LCP,,,
JC,71212,101,small dark bee,,,Potentilla hippiana,Potentilla hippiana,2,1,LCP,,,
JC,71212,102,small dark bee,,,Potentilla fruticosa,Potentilla fruticosa,2,1,LCP,,,
JC,71212,103,small dark bee,,,pink,Eremogone fendleri,2,1,LCP,,,
JC,71212,104,bumble bee,,,Campanula rotundifolia,Campanula rotundifolia,2,1,LCP,,,
JC,71212,105,bumble bee,,,Penstemon barbatus,Penstemon barbatus,2,1,HLS,,,
JC,71212,106,bee,,,Campanula rotundifolia,Campanula rotundifolia,2,1,HLS,,,
JC,71212,107,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,HLS,,,
JC,71212,108,hemiptrid,,,pink,Eremogone fendleri,2,1,HLS,,,
JC,71212,109,bombyliid,,,Potentilla hippiana,Potentilla hippiana,2,1,HLS,,,
JC,71212,110,bombyliid,,,Potentilla hippiana,Potentilla hippiana,2,1,HLS,,,
JC,71212,111,fly,,,Potentilla hippiana,Potentilla hippiana,2,1,HLS,,,
JC,71212,112,fly,,,Potentilla hippiana,Potentilla hippiana,2,1,HLS,,,
JC,71212,113,fly,,,Potentilla hippiana,Potentilla hippiana,2,1,HLS,,,
JC,71212,114,fly,,,Potentilla hippiana,Potentilla hippiana,2,1,HLS,,,
JC,71212,115,fly,,,Potentilla hippiana,Potentilla hippiana,2,1,HLS,,,
JC,71212,116,fly,,,Potentilla hippiana,Potentilla hippiana,2,1,HLS,,,
JC,71212,117,fly,,,Potentilla hippiana,Potentilla hippiana,2,1,HLS,,,
JC,71212,118,wasp/bee?,,,Potentilla hippiana,Potentilla hippiana,2,1,HLS,,,
JC,71212,119,beetle,,,Achillea millefolium,Achillea millefolium,2,1,HLS,,,
JC,71212,120,small dark bee,,,Potentilla hippiana,Potentilla hippiana,2,1,HLS,,,
JC,71212,121,small dark bee,,,Potentilla hippiana,Potentilla hippiana,2,1,HLS,,,
JC,71212,122,bombyliid,,,pink,Eremogone fendleri,2,1,HLS,,,
JC,71212,123,bumble bee,,,Campanula rotundifolia,Campanula rotundifolia,2,1,HLS,,,
JC,71212,124,skipper,,,Hymenopappus newberryi,Hymenopappus newberryi,2,1,LCP,,,
JC,71212,125,skipper,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,126,pierid,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,127,pierid,Colias eurytheme,m,Hymenopappus newberryi,Hymenopappus newberryi,2,1,LCP,,,
JC,71212,128,nymphalid,Euptoieta claudia,f,Hymenopappus newberryi,Hymenopappus newberryi,2,1,LCP,,,
JC,71212,129,pierid,Colias eurytheme,f,Erigeron subtrinervis,Erigeron subtrinervis,2,1,LCP,,,
JC,71212,130,pierid,,,Erigeron subtrinervis,Erigeron subtrinervis,2,1,HLS,,,
JC,71212,131,pierid,Eurema nicippe ,m,Western wallflower,Erysimum capitatum,2,1,HLS,,,
JC,71212,132,pierid,,,Campanula rotundifolia,Campanula rotundifolia,2,1,HLS,,,
JC,71412,0,hummingbird,Selasphorus platycercus,,star gilia,Ipomopsis aggregata,3,1,LCP,,,
JC,71412,0,hummingbird,Selasphorus platycercus,,star gilia,Ipomopsis aggregata,3,1,LCP,,,
JC,71412,0,hummingbird,Selasphorus platycercus,,star gilia,Ipomopsis aggregata,3,1,LCP,,,
JC,71412,0,hummingbird,Selasphorus platycercus,,red penstemen,Penstemon barbatus,3,1,LCP,,,
JC,71412,0,hummingbird,Selasphorus platycercus,,red penstemen,Penstemon barbatus,3,1,LCP,,,
JC,71412,0,hummingbird,Selasphorus platycercus,,red penstemen,Penstemon barbatus,3,1,LCP,,,
JC,71412,1,fly,,,Hymenopappus newberryi,Hymenopappus newberryi,3,1,LCP,,,
JC,71412,2,fly,,,Hymenopappus newberryi,Hymenopappus newberryi,3,1,LCP,,,
JC,71412,3,bee,,,Hymenopappus newberryi,Hymenopappus newberryi,3,1,LCP,,,
JC,71412,4,wasp,,,Hymenopappus newberryi,Hymenopappus newberryi,3,1,LCP,,,
JC,71412,5,wasp,,,Hymenopappus newberryi,Hymenopappus newberryi,3,1,LCP,,,
JC,71412,6,bee,,,Hymenopappus newberryi,Hymenopappus newberryi,3,1,LCP,,,
JC,71412,7,caliphorid,,,Hymenopappus newberryi,Hymenopappus newberryi,3,1,LCP,,,
JC,71412,8,fly,,,Hymenopappus newberryi,Hymenopappus newberryi,3,1,LCP,,,
JC,71412,9,syrphid,,,Hymenopappus newberryi,Hymenopappus newberryi,3,1,LCP,,,
JC,71412,10,fly,,,Potentilla hippiana,Potentilla hippiana,3,1,HLS,,,
JC,71412,11,fly,,,Potentilla hippiana,Potentilla hippiana,3,1,HLS,,,
JC,71412,12,hemiptera,,,Potentilla fruticosa,Potentilla fruticosa,3,1,HLS,,,
JC,71412,13,wasp,,,Potentilla hippiana,Potentilla hippiana,3,1,HLS,,,
JC,71412,14,fly,,,Campanula rotundifolia,Campanula rotundifolia,3,1,LCP,,,
JC,71412,15,bumble bee,,,Campanula rotundifolia,Campanula rotundifolia,3,1,LCP,,,
JC,71412,16,bee,,,Campanula rotundifolia,Campanula rotundifolia,3,1,LCP,,,
JC,71412,17,bumble bee,,,Campanula rotundifolia,Campanula rotundifolia,3,1,LCP,,,
JC,71412,18,small dark bee,,,Potentilla hippiana,Potentilla hippiana,3,1,HLS,,,
JC,71412,19,bombyliid,,,pink,Eremogone fendleri,3,1,HLS,,,
JC,71412,20,fly,,,Potentilla hippiana,Potentilla hippiana,3,1,HLS,,,
JC,71412,21,small dark bee,,,Potentilla hippiana,Potentilla hippiana,3,1,HLS,,,
JC,71412,22,small dark bee,,,Potentilla hippiana,Potentilla hippiana,3,1,HLS,,,
JC,71412,23,nymphalid,vanessa cardui,f,Hymenopappus newberryi,Hymenopappus newberryi,3,1,LCP,,,
JC,71412,24,nymphalid,vanessa virginiensis,f,Hymenopappus newberryi,Hymenopappus newberryi,3,1,LCP,,,
JC,71412,25,clear wing moth,,,Hymenopappus newberryi,Hymenopappus newberryi,3,1,LCP,,,
JC,71412,26,pierid,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,27,pierid,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,28,pierid,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,29,skipper,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,30,bumble bee,,,Campanula rotundifolia,Campanula rotundifolia,3,1,LCP,,,
JC,71412,31,bumble bee,,,Campanula rotundifolia,Campanula rotundifolia,3,1,LCP,,,
JC,71412,32,bumble bee,,,Campanula rotundifolia,Campanula rotundifolia,3,1,LCP,,,
JC,71412,33,fly,,,Campanula rotundifolia,Campanula rotundifolia,3,1,LCP,,,
JC,71412,34,small dark bee,,,Potentilla fruticosa,Potentilla fruticosa,3,1,LCP,,,
JC,71412,35,bumble bee,,,Penstemon barbatus,Penstemon barbatus,3,1,LCP,,,
JC,71412,36,bumble bee,,,Penstemon barbatus,Penstemon barbatus,3,1,LCP,,,
JC,71412,37,bumble bee,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,38,small dark bee,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,39,bumble bee,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,40,bumble bee,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,41,bumble bee,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,42,fly,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,43,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,44,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,45,small dark bee,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,46,small dark bee,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,47,sweat bee,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,48,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,49,wasp,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,50,bumble bee,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,51,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,52,beetle,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,53,small dark bee,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,54,wasp,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,55,small dark bee,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,56,fly,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,57,wasp,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,58,little fly,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,59,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,60,bumble bee,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,61,sweat bee,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,62,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,63,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,64,syrphid,,,pink,Eremogone fendleri,3,1,LCP,,,
JC,71412,65,fly,,,pink,Eremogone fendleri,3,1,LCP,,,
JC,71412,66,fly,,,pink,Eremogone fendleri,3,1,LCP,,,
JC,71412,67,small dark bee,,,pink,Eremogone fendleri,3,1,LCP,,,
JC,71412,68,wasp,,,pink,Eremogone fendleri,3,1,LCP,,,
JC,71412,69,bee,,,pink,Eremogone fendleri,3,1,LCP,,,
JC,71412,70,bumble bee,,,Potentilla hippiana,Potentilla hippiana,3,1,LCP,,,
JC,71412,71,small dark bee,,,Potentilla hippiana,Potentilla hippiana,3,1,LCP,,,
JC,71412,72,bombyliid,,,Potentilla hippiana,Potentilla hippiana,3,1,LCP,,,
JC,71412,73,fly,,,Potentilla hippiana,Potentilla hippiana,3,1,LCP,,,
JC,71412,74,fly,,,Potentilla hippiana,Potentilla hippiana,3,1,LCP,,,
JC,71412,75,fly,,,Potentilla hippiana,Potentilla hippiana,3,1,LCP,,,
JC,71412,76,fly,,,Potentilla hippiana,Potentilla hippiana,3,1,LCP,,,
JC,71412,77,fly,,,Potentilla hippiana,Potentilla hippiana,3,1,LCP,,,
JC,71412,78,fly,,,Potentilla hippiana,Potentilla hippiana,3,1,LCP,,,
JC,71412,79,fly,,,Potentilla hippiana,Potentilla hippiana,3,1,LCP,,,
JC,71412,80,fly,,,Potentilla hippiana,Potentilla hippiana,3,1,LCP,,,
JC,71412,81,fly,,,Potentilla hippiana,Potentilla hippiana,3,1,LCP,,,
JC,71412,82,fly,,,Potentilla hippiana,Potentilla hippiana,3,1,LCP,,,
JC,71412,83,syrphid,,,Potentilla hippiana,Potentilla hippiana,3,1,LCP,,,
JC,71412,84,bee,,,Potentilla hippiana,Potentilla hippiana,3,1,LCP,,,
JC,71412,85,fly,,,Potentilla hippiana,Potentilla hippiana,3,1,LCP,,,
JC,71412,86,fly,,,Potentilla hippiana,Potentilla hippiana,3,1,LCP,,,
JC,71412,87,fly,,,small erigeron,Erigeron formosissimus,3,1,LCP,,,
JC,71412,88,syrphid,,,small erigeron,Erigeron formosissimus,3,1,LCP,,,
JC,71412,89,fly,,,small erigeron,Erigeron formosissimus,3,1,LCP,,,
JC,71412,90,bumble bee,,,senicio,Senecio eremophilus,3,1,LCP,,,
JC,71412,91,small dark bee,,,senicio,Senecio eremophilus,3,1,LCP,,,
JC,71412,92,small dark bee,,,senicio,Senecio eremophilus,3,1,LCP,,,
JC,71412,93,syrphid,,,Hymenopappus newberryi,Hymenopappus newberryi,3,1,LCP,,,
JC,71412,94,syrphid,,,Hymenopappus newberryi,Hymenopappus newberryi,3,1,LCP,,,
JC,71412,95,syrphid,,,Hymenopappus newberryi,Hymenopappus newberryi,3,1,LCP,,,
JC,71412,96,small dark bee,,,Hymenopappus newberryi,Hymenopappus newberryi,3,1,LCP,,,
JC,71412,97,syrphid,,,Hymenopappus newberryi,Hymenopappus newberryi,3,1,LCP,,,
JC,71412,98,wasp,,,Hymenopappus newberryi,Hymenopappus newberryi,3,1,LCP,,,
JC,71412,99,wasp,,,Hymenopappus newberryi,Hymenopappus newberryi,3,1,LCP,,,
JC,71412,100,fly,,,Hymenopappus newberryi,Hymenopappus newberryi,3,1,LCP,,,
JC,71412,101,bee,,,Hymenopappus newberryi,Hymenopappus newberryi,3,1,LCP,,,
JC,71412,102,small dark bee,,,Hymenopappus newberryi,Hymenopappus newberryi,3,1,LCP,,,
JC,71412,103,small dark bee,,,Hymenopappus newberryi,Hymenopappus newberryi,3,1,LCP,,,
JC,71412,104,small dark bee,,,Hymenopappus newberryi,Hymenopappus newberryi,3,1,LCP,,,
JC,71412,105,small dark bee,,,Hymenopappus newberryi,Hymenopappus newberryi,3,1,LCP,,,
JC,71412,106,small dark bee,,,Hymenopappus newberryi,Hymenopappus newberryi,3,1,LCP,,,
JC,71412,107,fly,,,Hymenopappus newberryi,Hymenopappus newberryi,3,1,LCP,,,
JC,71412,108,fly,,,Hymenopappus newberryi,Hymenopappus newberryi,3,1,LCP,,,
JC,71412,109,wasp,,,Hymenopappus newberryi,Hymenopappus newberryi,3,1,LCP,,,
JC,71412,110,fly,,,Hymenopappus newberryi,Hymenopappus newberryi,3,1,LCP,,,
JC,71412,111,fly,,,yarrow,Achillea millefolium,3,1,LCP,,,
JC,71412,112,fly,,,yarrow,Achillea millefolium,3,1,LCP,,,
JC,71412,113,syrphid,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,114,syrphid,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,115,syrphid,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,116,fly,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,117,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,118,bumble bee,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,119,bombyliid,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,120,syrphid,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,121,bombyliid,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,122,sweat bee,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,123,bumble bee,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
JC,71412,124,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,3,1,LCP,,,
