species,sex,det,named by,year
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus bifarius ,f,RW Thorp,Cresson,2013
Bombus morrisoni ,f,RW Thorp,Cresson,2013
Bombus morrisoni ,f,RW Thorp,Cresson,2013
Bombus morrisoni ,f,RW Thorp,Cresson,2013
Bombus morrisoni ,f,RW Thorp,Cresson,2013
Bombus morrisoni ,f,RW Thorp,Cresson,2013
Bombus morrisoni ,m,RW Thorp,Cresson,2013
Bombus morrisoni ,m,RW Thorp,Cresson,2013
Bombus nevadensis ,f,RW Thorp,Cresson,2013
Bombus nevadensis ,f,RW Thorp,Cresson,2013
Bombus nevadensis ,f,RW Thorp,Cresson,2013
Bombus nevadensis ,f,RW Thorp,Cresson,2013
Bombus nevadensis ,f,RW Thorp,Cresson,2013
Bombus nevadensis ,f,RW Thorp,Cresson,2013
Bombus nevadensis ,f,RW Thorp,Cresson,2013
Bombus nevadensis ,f,RW Thorp,Cresson,2013
Bombus nevadensis ,f,RW Thorp,Cresson,2013
Bombus nevadensis ,f,RW Thorp,Cresson,2013
Bombus nevadensis ,f,RW Thorp,Cresson,2013
Bombus nevadensis ,f,RW Thorp,Cresson,2013
Bombus nevadensis ,f,RW Thorp,Cresson,2013
Bombus nevadensis ,f,RW Thorp,Cresson,2013
Bombus fervides ,f,RW Thorp,Fabricius,2013
Bombus fervides ,f,RW Thorp,Fabricius,2013
Bombus fervides ,f,RW Thorp,Fabricius,2013
Bombus fervides ,f,RW Thorp,Fabricius,2013
Bombus fervides ,f,RW Thorp,Fabricius,2013
Bombus fervides ,f,RW Thorp,Fabricius,2013
Bombus fervides ,f,RW Thorp,Fabricius,2013
Bombus fervides ,f,RW Thorp,Fabricius,2013
Bombus occidentalis,f,RW Thorp,Greene,2013
Bombus occidentalis,f,RW Thorp,Greene,2013
