"Site","Year","SampleRound","GenusSpecies","Abundance","SpParasitismRate"
"HM",2017,1,"Halictus ligatus",1,NA
"HM",2017,1,"Halictus tripartitus",2,NA
"HM",2017,1,"Hoplitis producta",1,NA
"HM",2017,1,"Hylaeus annulatus",14,NA
"HM",2017,1,"Hylaeus wootoni",3,NA
"HM",2017,1,"Lapposyrphus lapponicus",1,NA
"HM",2017,1,"Lasioglossum Z17",1,NA
"HM",2017,1,"Lasioglossum comulum aff.",1,NA
"HM",2017,1,"Lasioglossum desertum",3,NA
"HM",2017,1,"Lasioglossum hairy T1",1,NA
"HM",2017,1,"Lasioglossum hudsoniellum",1,NA
"HM",2017,1,"Lasioglossum obnubilum",1,NA
"HM",2017,1,"Lasioglossum pacatum/viridatulum",9,NA
"HM",2017,1,"Lasioglossum ruidosense cf.",1,NA
"HM",2017,1,"Lasioglossum semicaeruleum",2,NA
"HM",2017,1,"Lasioglossum sisymbrii",2,NA
"HM",2017,1,"Lasioglossum sp. s",2,NA
"HM",2017,1,"Megachile comata",2,NA
"HM",2017,1,"Megachile frigida",1,NA
"HM",2017,1,"Megachile inermis",9,NA
"HM",2017,1,"Megachile mellitarsis",1,NA
"HM",2017,1,"Megachile relativa",33,NA
"HM",2017,1,"Melissodes confusus",4,NA
"HM",2017,1,"Melissodes gilensis",1,NA
"HM",2017,1,"Osmia montana montana",1,NA
"HM",2017,1,"Sphecodes sp. b",1,NA
"HM",2017,1,"Stelis elegans",1,NA
"HM",2017,1,"Syrphus opinator",3,NA
"HM",2017,1,"Syrphus ribesii",2,NA
"HM",2017,1,"Toxomerus marginatus",1,NA
"HM",2017,2,"Agapostemon angelicus",14,NA
"HM",2017,2,"Anthophora montana",8,NA
"HM",2017,2,"Apis mellifera",2,NA
"HM",2017,2,"Bombus centralis",1,NA
"HM",2017,2,"Bombus fervidus",1,NA
"HM",2017,2,"Bombus huntii",25,NA
"HM",2017,2,"Bombus morrisoni",2,NA
"HM",2017,2,"Chrysotoxum sp. a",3,NA
"HM",2017,2,"Colletes hyalinus hyalinus",1,NA
"HM",2017,2,"Copestylum avidum",1,NA
"HM",2017,2,"Copestylum lentum",1,NA
"HM",2017,2,"Copestylum mexicanum",1,NA
"HM",2017,2,"Copestylum violaceum",73,NA
"HM",2017,2,"Diadasia australis",1,NA
"HM",2017,2,"Eristalis bellardii",7,NA
"HM",2017,2,"Eristalis stipator",35,NA
"HM",2017,2,"Eupeodes volucris",1,NA
"HM",2017,2,"Halictus ligatus",3,NA
"HM",2017,2,"Hylaeus annulatus",2,NA
"HM",2017,2,"Hylaeus wootoni",1,NA
"HM",2017,2,"Lasioglossum aquilae",11,NA
"HM",2017,2,"Lasioglossum hairy T1",2,NA
"HM",2017,2,"Lasioglossum laevissimum",1,NA
"HM",2017,2,"Lasioglossum obnubilum",2,NA
"HM",2017,2,"Lasioglossum pacatum",2,NA
"HM",2017,2,"Lasioglossum pacatum/viridatulum",14,NA
"HM",2017,2,"Lasioglossum ruidosense cf.",3,NA
"HM",2017,2,"Lasioglossum semicaeruleum",29,NA
"HM",2017,2,"Lasioglossum sisymbrii",5,NA
"HM",2017,2,"Lasioglossum trizonatum",2,NA
"HM",2017,2,"Megachile melanophaea rohweri",1,NA
"HM",2017,2,"Melissodes confusus",13,NA
"HM",2017,2,"Melissodes tristis",2,NA
"HM",2017,2,"Osmia simillima",1,NA
"HM",2017,2,"Pseudoscaeva diversifasciata",1,NA
"HM",2017,2,"Sphecodes sp. b",12,NA
"HM",2017,2,"Syrphus ribesii",1,NA
"HM",2017,2,"Toxomerus marginatus",1,NA
"HM",2017,3,"Agapostemon angelicus",3,NA
"HM",2017,3,"Anthophora montana",3,NA
"HM",2017,3,"Anthophora terminalis",4,NA
"HM",2017,3,"Anthophora urbana",1,NA
"HM",2017,3,"Apis mellifera",3,NA
"HM",2017,3,"Bombus centralis",12,NA
"HM",2017,3,"Bombus fervidus",2,NA
"HM",2017,3,"Bombus huntii",2,NA
"HM",2017,3,"Bombus morrisoni",2,NA
"HM",2017,3,"Ceratina nanula",5,NA
"HM",2017,3,"Copestylum satur",1,NA
"HM",2017,3,"Copestylum violaceum",92,NA
"HM",2017,3,"Dasysyrphus sp. a",2,NA
"HM",2017,3,"Diadasia diminuta",1,NA
"HM",2017,3,"Dufourea maura",3,NA
"HM",2017,3,"Eristalis bellardii",15,NA
"HM",2017,3,"Eristalis stipator",14,NA
"HM",2017,3,"Halictus ligatus",12,NA
"HM",2017,3,"Hoplitis fulgida",1,NA
"HM",2017,3,"Hylaeus annulatus",6,NA
"HM",2017,3,"Hylaeus mesillae",1,NA
"HM",2017,3,"Hylaeus wootoni",11,NA
"HM",2017,3,"Lasioglossum M2",1,NA
"HM",2017,3,"Lasioglossum aff. perparvum",6,NA
"HM",2017,3,"Lasioglossum aquilae",8,NA
"HM",2017,3,"Lasioglossum comulum aff.",1,NA
"HM",2017,3,"Lasioglossum desertum",3,NA
"HM",2017,3,"Lasioglossum hairy T1",2,NA
"HM",2017,3,"Lasioglossum lusorium",1,NA
"HM",2017,3,"Lasioglossum microlepoides",2,NA
"HM",2017,3,"Lasioglossum obnubilum",3,NA
"HM",2017,3,"Lasioglossum pacatum",4,NA
"HM",2017,3,"Lasioglossum pacatum/viridatulum",27,NA
"HM",2017,3,"Lasioglossum ruidosense cf.",7,NA
"HM",2017,3,"Lasioglossum semicaeruleum",15,NA
"HM",2017,3,"Lasioglossum sisymbrii",5,NA
"HM",2017,3,"Lasioglossum sp. 5",1,NA
"HM",2017,3,"Lasioglossum trizonatum",1,NA
"HM",2017,3,"Megachile comata",1,NA
"HM",2017,3,"Megachile fidelis",1,NA
"HM",2017,3,"Megachile frigida",7,NA
"HM",2017,3,"Megachile melanophaea",1,NA
"HM",2017,3,"Megachile melanophaea rohweri",1,NA
"HM",2017,3,"Megachile mellitarsis",1,NA
"HM",2017,3,"Megachile relativa",1,NA
"HM",2017,3,"Melissodes confusus",13,NA
"HM",2017,3,"Melissodes gilensis",1,NA
"HM",2017,3,"Melissodes tristis",1,NA
"HM",2017,3,"Osmia albolateralis",3,NA
"HM",2017,3,"Osmia pentstemonis",1,NA
"HM",2017,3,"Sphecodes sp. a",1,NA
"HM",2017,3,"Sphecodes sp. b",5,NA
"HM",2017,3,"Syrphus ribesii",2,NA
"HM",2017,3,"Toxomerus marginatus",2,NA
"HM",2018,1,"Agapostemon angelicus",1,NA
"HM",2018,1,"Anthophora terminalis",3,0
"HM",2018,1,"Apis mellifera",26,0
"HM",2018,1,"Bombus centralis",8,0.125
"HM",2018,1,"Bombus flavifrons",2,0
"HM",2018,1,"Bombus huntii",5,0
"HM",2018,1,"Bombus rufocinctus",1,0
"HM",2018,1,"Cheilosia sp. a",1,NA
"HM",2018,1,"Colletes sp. 4",1,NA
"HM",2018,1,"Copestylum lentum",1,NA
"HM",2018,1,"Diadasia diminuta",1,NA
"HM",2018,1,"Dufourea maura",1,NA
"HM",2018,1,"Eristalis bellardii",3,NA
"HM",2018,1,"Eristalis stipator",1,NA
"HM",2018,1,"Eupeodes snowi",1,NA
"HM",2018,1,"Halictus tripartitus",2,NA
"HM",2018,1,"Heriades cressoni",5,NA
"HM",2018,1,"Hylaeus annulatus",10,NA
"HM",2018,1,"Hylaeus mesillae",2,NA
"HM",2018,1,"Hylaeus sp. b",1,NA
"HM",2018,1,"Hylaeus sp. c",7,NA
"HM",2018,1,"Lasioglossum aquilae",25,NA
"HM",2018,1,"Lasioglossum obnubilum",1,NA
"HM",2018,1,"Lasioglossum pacatum",28,NA
"HM",2018,1,"Lasioglossum pacatum/viridatulum",15,NA
"HM",2018,1,"Lasioglossum ruidosense cf.",14,NA
"HM",2018,1,"Lasioglossum trizonatum",3,NA
"HM",2018,1,"Megachile comata",1,0
"HM",2018,1,"Megachile fidelis",3,0
"HM",2018,1,"Megachile frigida",9,0.222222222222222
"HM",2018,1,"Megachile mellitarsis",2,0
"HM",2018,1,"Megachile relativa",5,0.75
"HM",2018,1,"Melissodes confusus",18,0.333333333333333
"HM",2018,1,"Scaeva affinis",1,NA
"HM",2018,1,"Sphecodes sp. a",2,NA
"HM",2018,1,"Sphecodes sp. b",2,NA
"HM",2018,1,"Syrphus ribesii",1,NA
"HM",2018,1,"Triepeolus sp. b",2,NA
"HM",2018,2,"Apis mellifera",13,0
"HM",2018,2,"Bombus centralis",7,0.285714285714286
"HM",2018,2,"Bombus huntii",3,0.333333333333333
"HM",2018,2,"Cheilosia sp. a",1,NA
"HM",2018,2,"Colletes bryanti",1,NA
"HM",2018,2,"Dufourea maura",2,NA
"HM",2018,2,"Eupeodes fumipennis",1,NA
"HM",2018,2,"Hylaeus annulatus",1,NA
"HM",2018,2,"Lasioglossum aquilae",2,NA
"HM",2018,2,"Lasioglossum pacatum/viridatulum",7,NA
"HM",2018,2,"Megachile frigida",1,1
"HM",2018,2,"Melissodes confusus",3,NA
"HM",2018,2,"Syrphus opinator",2,NA
"HM",2018,2,"Triepeolus sp. a",3,NA
"HM",2021,1,"Apis mellifera",7,0
"HM",2021,1,"Bombus centralis",37,1
"HM",2021,1,"Bombus fervidus",8,1
"HM",2021,1,"Bombus flavifrons",5,NA
"HM",2021,1,"Bombus huntii",19,1
"HM",2021,1,"Colletes compactus",1,NA
"HM",2021,1,"Dasysyrphus sp. a",3,NA
"HM",2021,1,"Dufourea maura",11,0
"HM",2021,1,"Halictus confusus",7,NA
"HM",2021,1,"Halictus ligatus",3,NA
"HM",2021,1,"Halictus tripartitus",15,NA
"HM",2021,1,"Heriades crucifera",1,NA
"HM",2021,1,"Hylaeus annulatus",14,NA
"HM",2021,1,"Hylaeus mesillae",6,NA
"HM",2021,1,"Lapposyrphus lapponicus",2,NA
"HM",2021,1,"Lasioglossum aquilae",17,NA
"HM",2021,1,"Lasioglossum deludens",1,NA
"HM",2021,1,"Lasioglossum egregium",5,NA
"HM",2021,1,"Lasioglossum pacatum",3,NA
"HM",2021,1,"Lasioglossum pacatum/viridatulum",24,NA
"HM",2021,1,"Lasioglossum ruidosense",2,NA
"HM",2021,1,"Lasioglossum semicaeruleum",2,NA
"HM",2021,1,"Megachile comata",1,NA
"HM",2021,1,"Megachile frigida",1,NA
"HM",2021,1,"Melissodes confusus",2,NA
"HM",2021,1,"Scaeva affinis",1,NA
"HM",2021,1,"Sphaerophoria spp",1,NA
"HM",2021,1,"Syrphus sp. a",4,NA
"HM",2021,1,"Toxomerus marginatus",3,NA
"HM",2021,2,"Allograpta obliqua",1,NA
"HM",2021,2,"Anthidium maculosum",1,NA
"HM",2021,2,"Anthophora montana",1,NA
"HM",2021,2,"Apis mellifera",21,0.222222222222222
"HM",2021,2,"Asemosyrphus polygrammus",2,NA
"HM",2021,2,"Bombus centralis",16,0.5
"HM",2021,2,"Bombus fervidus",5,0.666666666666667
"HM",2021,2,"Bombus flavifrons",2,NA
"HM",2021,2,"Bombus huntii",15,0
"HM",2021,2,"Ceratina nanula",1,NA
"HM",2021,2,"Ceratina neomexicana",1,NA
"HM",2021,2,"Colletes compactus",1,NA
"HM",2021,2,"Colletes eulophi",1,NA
"HM",2021,2,"Colletes gilensis",1,NA
"HM",2021,2,"Colletes slevini",3,NA
"HM",2021,2,"Eristalis stipator",7,NA
"HM",2021,2,"Halictus ligatus",4,NA
"HM",2021,2,"Hylaeus annulatus",1,NA
"HM",2021,2,"Lasioglossum aquilae",38,NA
"HM",2021,2,"Lasioglossum pacatum",15,NA
"HM",2021,2,"Lasioglossum pacatum/viridatulum",63,NA
"HM",2021,2,"Lasioglossum ruidosense",19,NA
"HM",2021,2,"Lasioglossum ruidosense cf.",3,NA
"HM",2021,2,"Lasioglossum semicaeruleum",29,NA
"HM",2021,2,"Lassioglossum obnolium",2,NA
"HM",2021,2,"Lassioglossum semicaeruleum",2,NA
"HM",2021,2,"Megachile melanophaea rohweri",1,NA
"HM",2021,2,"Melissodes confusus",2,1
"HM",2021,2,"Melissodes tristis",1,NA
"HM",2021,2,"Platycheirus sp. a",2,NA
"HM",2021,2,"Platycheirus spp.",1,NA
"HM",2021,2,"Scaeva affinis",1,NA
"HM",2021,2,"Syrphus sp. a",2,NA
"HM",2021,2,"Toxomerus marginatus",57,1
"HM",2022,1,"Anthophora terminalis",1,NA
"HM",2022,1,"Apis mellifera",3,NA
"HM",2022,1,"Bombus centralis",54,NA
"HM",2022,1,"Bombus fervidus",2,NA
"HM",2022,1,"Bombus flavidus",1,NA
"HM",2022,1,"Bombus huntii",211,NA
"HM",2022,1,"Chrysogaster sp. a",1,NA
"HM",2022,1,"Coelioxys moesta",1,NA
"HM",2022,1,"Copestylum violaceum",3,NA
"HM",2022,1,"Dufourea maura",7,NA
"HM",2022,1,"Eristalis bellardii",2,NA
"HM",2022,1,"Halictus ligatus",2,NA
"HM",2022,1,"Hylaeus annulatus",1,NA
"HM",2022,1,"Lasioglossum aquilae",1,NA
"HM",2022,1,"Lasioglossum pacatum/viridatulum",2,NA
"HM",2022,1,"Megachile frigida",21,NA
"HM",2022,1,"Melissodes confusus",2,NA
"HM",2022,1,"Scaeva affinis",1,NA
"HM",2022,1,"Syrphus sp. a",4,NA
"JC",2012,1,"Agapostemon angelicus",20,NA
"JC",2012,1,"Allograpta obliqua",2,NA
"JC",2012,1,"Anthidium tenuiflorae",1,NA
"JC",2012,1,"Anthophora montana",5,NA
"JC",2012,1,"Anthophora terminalis",1,NA
"JC",2012,1,"Blera confusa",1,NA
"JC",2012,1,"Bombus bifarius",58,NA
"JC",2012,1,"Bombus flavifrons",20,NA
"JC",2012,1,"Bombus huntii",1,NA
"JC",2012,1,"Bombus occidentalis",2,NA
"JC",2012,1,"Bombus rufocinctus",37,NA
"JC",2012,1,"Cheilosia sp. a",2,NA
"JC",2012,1,"Coelioxys sodalis",1,NA
"JC",2012,1,"Dufourea fimbriata",20,NA
"JC",2012,1,"Dufourea maura",2,NA
"JC",2012,1,"Eristalis arbustorum",1,NA
"JC",2012,1,"Eristalis hirta",2,NA
"JC",2012,1,"Eristalis stipator",39,NA
"JC",2012,1,"Eristalis tenax",1,NA
"JC",2012,1,"Eupeodes volucris",2,NA
"JC",2012,1,"Halictus rubicundus",6,NA
"JC",2012,1,"Hammerschmidtia rufa",1,NA
"JC",2012,1,"Hylaeus annulatus",7,NA
"JC",2012,1,"Hylaeus wootoni",3,NA
"JC",2012,1,"Lapposyrphus lapponicus",2,NA
"JC",2012,1,"Lasioglossum aquilae",53,NA
"JC",2012,1,"Lasioglossum laevissimum",13,NA
"JC",2012,1,"Lasioglossum lusorium",2,NA
"JC",2012,1,"Lasioglossum obnubilum",3,NA
"JC",2012,1,"Lasioglossum occultum cf.",2,NA
"JC",2012,1,"Lasioglossum prasinogaster",1,NA
"JC",2012,1,"Lasioglossum ruidosense cf.",17,NA
"JC",2012,1,"Lasioglossum sedi",2,NA
"JC",2012,1,"Lasioglossum semicaeruleum",16,NA
"JC",2012,1,"Lasioglossum sisymbrii",3,NA
"JC",2012,1,"Lejops polygrammus",3,NA
"JC",2012,1,"Megachile frigida",11,NA
"JC",2012,1,"Megachile gemula fulvogemula",1,NA
"JC",2012,1,"Megachile melanophaea",5,NA
"JC",2012,1,"Megachile melanophaea rohweri",1,NA
"JC",2012,1,"Megachile relativa",2,NA
"JC",2012,1,"Melissodes confusus",10,NA
"JC",2012,1,"Melissodes coreopsis",1,NA
"JC",2012,1,"Melissodes menuachus",2,NA
"JC",2012,1,"Melissodes sp. a",1,NA
"JC",2012,1,"Melissodes sp. b",1,NA
"JC",2012,1,"Melissodes tristis",8,NA
"JC",2012,1,"Osmia juxta",2,NA
"JC",2012,1,"Pipizini sp. a",1,NA
"JC",2012,1,"Platycheirus confusus",1,NA
"JC",2012,1,"Platycheirus stegnus",1,NA
"JC",2012,1,"Sericomyia flagrans",9,NA
"JC",2012,1,"Sphecodes sp. b",4,NA
"JC",2012,1,"Syrphus opinator",2,NA
"JC",2012,1,"Syrphus ribesii",2,NA
"JC",2012,1,"Toxomerus marginatus",1,NA
"JC",2012,1,"Xylota sp. b",3,NA
"JC",2012,1,"Xylota sp. c",1,NA
"JC",2017,1,"Agapostemon angelicus",5,NA
"JC",2017,1,"Anthophora montana",1,NA
"JC",2017,1,"Anthophora terminalis",4,NA
"JC",2017,1,"Bombus bifarius",4,NA
"JC",2017,1,"Bombus rufocinctus",3,NA
"JC",2017,1,"Cheilosia sp. a",2,NA
"JC",2017,1,"Colletes nigrifrons",19,NA
"JC",2017,1,"Colletes phaceliae",2,NA
"JC",2017,1,"Colletes sp. 1",1,NA
"JC",2017,1,"Copestylum lentum",1,NA
"JC",2017,1,"Dufourea maura",1,NA
"JC",2017,1,"Eristalis stipator",6,NA
"JC",2017,1,"Eupeodes volucris",1,NA
"JC",2017,1,"Halictus farinosus",1,NA
"JC",2017,1,"Hylaeus annulatus",1,NA
"JC",2017,1,"Lasioglossum aquilae",1,NA
"JC",2017,1,"Lasioglossum comulum aff.",1,NA
"JC",2017,1,"Lasioglossum cooleyi",2,NA
"JC",2017,1,"Lasioglossum hairy T1",1,NA
