"UniqueID","TempID","GenID","Order","Family","Genus","SubGenus","Species","SubSpecies","Sex","Site","Collector","SampleDay","SampleRound","Date","Dos","FieldPlantID","FinalPlantSp","PlantFamily","DateDetermined","Determiner","Author"
"PL_080912_338","338","fly",NA,NA,NA,NA,NA,NA,NA,"PL","LCP",1,1,"8/9/12",30,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_081012_210","210","fly",NA,NA,NA,NA,NA,NA,NA,"PL","HLS",2,2,"8/10/12",31,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_081012_211","211","fly",NA,NA,NA,NA,NA,NA,NA,"PL","HLS",2,2,"8/10/12",31,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_081112_61","61","fly",NA,NA,NA,NA,NA,NA,NA,"PL","HLS",3,3,"8/11/12",32,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_081112_62","62","fly",NA,NA,NA,NA,NA,NA,NA,"PL","HLS",3,3,"8/11/12",32,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_081112_63","63","fly",NA,NA,NA,NA,NA,NA,NA,"PL","HLS",3,3,"8/11/12",32,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_081112_64","64","fly",NA,NA,NA,NA,NA,NA,NA,"PL","HLS",3,3,"8/11/12",32,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_081112_65","65","fly",NA,NA,NA,NA,NA,NA,NA,"PL","HLS",3,3,"8/11/12",32,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_081112_66","66","fly",NA,NA,NA,NA,NA,NA,NA,"PL","HLS",3,3,"8/11/12",32,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_081112_67","67","fly",NA,NA,NA,NA,NA,NA,NA,"PL","HLS",3,3,"8/11/12",32,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_081112_68","68","fly",NA,NA,NA,NA,NA,NA,NA,"PL","HLS",3,3,"8/11/12",32,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_081112_184","184","bombyliid",NA,NA,NA,NA,NA,NA,NA,"PL","LCP",3,3,"8/11/12",32,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_081112_185","185","fly",NA,NA,NA,NA,NA,NA,NA,"PL","LCP",3,3,"8/11/12",32,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_081112_206","206","fly",NA,NA,NA,NA,NA,NA,NA,"PL","LCP",3,3,"8/11/12",32,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_081112_207","207","fly",NA,NA,NA,NA,NA,NA,NA,"PL","LCP",3,3,"8/11/12",32,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_081112_208","208","fly",NA,NA,NA,NA,NA,NA,NA,"PL","LCP",3,3,"8/11/12",32,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_081112_209","209","fly",NA,NA,NA,NA,NA,NA,NA,"PL","LCP",3,3,"8/11/12",32,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_081212_181","181","fly",NA,NA,NA,NA,NA,NA,NA,"PL","HLS",4,4,"8/12/12",33,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_081212_182","182","fly",NA,NA,NA,NA,NA,NA,NA,"PL","HLS",4,4,"8/12/12",33,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_081212_183","183","fly",NA,NA,NA,NA,NA,NA,NA,"PL","HLS",4,4,"8/12/12",33,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_081212_184","184","fly",NA,NA,NA,NA,NA,NA,NA,"PL","HLS",4,4,"8/12/12",33,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_081212_185","185","fly",NA,NA,NA,NA,NA,NA,NA,"PL","HLS",4,4,"8/12/12",33,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_081212_186","186","fly",NA,NA,NA,NA,NA,NA,NA,"PL","HLS",4,4,"8/12/12",33,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_081212_187","187","fly",NA,NA,NA,NA,NA,NA,NA,"PL","HLS",4,4,"8/12/12",33,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_081212_287","287","vanessa",NA,NA,NA,NA,NA,NA,NA,"PL","HLS",4,4,"8/12/12",33,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_081312_114","114","fly",NA,NA,NA,NA,NA,NA,NA,"PL","LCP",5,5,"8/13/12",34,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_081312_115","115","fly",NA,NA,NA,NA,NA,NA,NA,"PL","LCP",5,5,"8/13/12",34,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_081312_116","116","fly",NA,NA,NA,NA,NA,NA,NA,"PL","LCP",5,5,"8/13/12",34,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_081312_117","117","wasp",NA,NA,NA,NA,NA,NA,NA,"PL","LCP",5,5,"8/13/12",34,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"CH_082012_56","56","beetle",NA,NA,NA,NA,NA,NA,NA,"CH","LCP",3,3,"8/20/12",41,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"CH_082012_57","57","beetle",NA,NA,NA,NA,NA,NA,NA,"CH","LCP",3,3,"8/20/12",41,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"CH_082012_181","181","beetle",NA,NA,NA,NA,NA,NA,NA,"CH","HLS",3,3,"8/20/12",41,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"CH_082112_52","52","wasp","Hymenoptera","Vespidae","Ancistrocerus","","bustamente","","","CH","LCP",4,4,"8/21/12",42,"yarrow","Achillea millefolium","Asteraceae",2013,"J. Carpenter","Saussure"
"CH_082112_173","173","beetle",NA,NA,NA,NA,NA,NA,NA,"CH","HLS",4,4,"8/21/12",42,"yarrow","Achillea millefolium","Asteraceae",NA,NA,NA
"PL_081312_146","146","bee","Hymenoptera","Apidae","Anthophora","","californica","","f","PL","HLS",5,5,"8/13/12",34,"spike mint","Agastache pallidiflora ssp. neomexicana","Lamiaceae",2013,"J.S. Ascher","Cresson"
"PL_081312_145","145","bee","Hymenoptera","Apidae","Anthophora","","terminalis","","f","PL","HLS",5,5,"8/13/12",34,"spike mint","Agastache pallidiflora ssp. neomexicana","Lamiaceae",2013,"J.S. Ascher","Cresson"
"MM_080212_107","107","bumble bee","Hymenoptera","Apidae","Bombus","","flavifrons","","m","MM","LCP",3,3,"8/2/12",23,"spike mint","Agastaene pallidiflora ssp. pallidiflora","Lamiaceae",2013,"R.W. Thorp","Cresson"
"MM_080212_106","106","bombyliid",NA,NA,NA,NA,NA,NA,NA,"MM","LCP",3,3,"8/2/12",23,"spike mint","Agastaene pallidiflora ssp. pallidiflora","Lamiaceae",NA,NA,NA
"MM_080212_306","306","bombyliid",NA,NA,NA,NA,NA,NA,NA,"MM","HLS",3,3,"8/2/12",23,"spike mint","Agastaene pallidiflora ssp. pallidiflora","Lamiaceae",NA,NA,NA
"MM_080312_102","102","bombyliid",NA,NA,NA,NA,NA,NA,NA,"MM","HLS",4,4,"8/3/12",24,"spike mint","Agastaene pallidiflora ssp. pallidiflora","Lamiaceae",NA,NA,NA
"MM_080412_169","169","bombyliid",NA,NA,NA,NA,NA,NA,NA,"MM","LCP",5,5,"8/4/12",25,"spike mint","Agastaene pallidiflora ssp. pallidiflora","Lamiaceae",NA,NA,NA
"SC_072312_11","11","small dark bee","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","SC","HLS",3,2,"7/23/12",13,"orange dandilion","Agoseris aurantica","Asteraceae",2013,"J.S. Ascher","Cockerell"
"SC_072312_12","12","small dark bee","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","SC","HLS",3,2,"7/23/12",13,"orange dandilion","Agoseris aurantica","Asteraceae",2013,"J.S. Ascher","Cockerell"
"SC_072612_114","114","bee","Hymenoptera","Apidae","Bombus","","fervidus","","f","SC","LCP",4,3,"7/26/12",16,"orange dandilion","Agoseris aurantica","Asteraceae",2013,"R.W. Thorp","Fabricius"
"SC_072612_59","59","sweat bee","Hymenoptera","Halictidae","Agapostemen","","angelicus","","f","SC","HLS",4,3,"7/26/12",16,"orange dandilion","Agoseris aurantica","Asteraceae",2013,"J.S. Ascher","Cockerell"
"SC_072612_75","75","small dark bee","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","SC","HLS",4,3,"7/26/12",16,"orange dandilion","Agoseris aurantica","Asteraceae",2013,"J.S. Ascher","Cockerell"
"SC_072712_256","256","Sweat bee","Hymenoptera","Halictidae","Agapostemen","","angelicus","","f","SC","LCP",5,4,"7/27/12",17,"Orange dandilion","Agoseris aurantica","Asteraceae",2013,"J.S. Ascher","Cockerell"
"SC_072712_257","257","Sweat bee","Hymenoptera","Halictidae","Agapostemen","","angelicus","","f","SC","LCP",5,4,"7/27/12",17,"Orange dandilion","Agoseris aurantica","Asteraceae",2013,"J.S. Ascher","Cockerell"
"SC_072712_48","48","small dark bee","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","SC","HLS",5,4,"7/27/12",17,"orange dandilion","Agoseris aurantica","Asteraceae",2013,"J.S. Ascher","Cockerell"
"SC_072712_49","49","small dark bee","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","SC","HLS",5,4,"7/27/12",17,"orange dandilion","Agoseris aurantica","Asteraceae",2013,"J.S. Ascher","Cockerell"
"SC_072712_99","99","small dark bee","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","SC","HLS",5,4,"7/27/12",17,"Orange dandilion","Agoseris aurantica","Asteraceae",2013,"J.S. Ascher","Cockerell"
"SC_072712_255","255","fly","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","SC","LCP",5,4,"7/27/12",17,"Orange dandilion","Agoseris aurantica","Asteraceae",2013,"J.S. Ascher","Cockerell"
"SC_072812_213","213","wasp",NA,NA,NA,NA,NA,NA,NA,"SC","LCP",6,5,"7/28/12",18,"Orange dandilion","Agoseris aurantica","Asteraceae",NA,NA,NA
"SC_072812_214","214","small dark bee","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","SC","LCP",6,5,"7/28/12",18,"Orange dandilion","Agoseris aurantica","Asteraceae",2013,"J.S. Ascher","Cockerell"
"SC_072812_215","215","small dark bee","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","SC","LCP",6,5,"7/28/12",18,"Orange dandilion","Agoseris aurantica","Asteraceae",2013,"J.S. Ascher","Cockerell"
"SC_072912_83","83","small dark bee","Hymenoptera","Halictidae","Lasioglossum","Dialictus","ruidosense","","m","SC","LCP",7,5,"7/29/12",19,"Orange dandilion","Agoseris aurantica","Asteraceae",2013,"J.S. Ascher","Cockerell"
"PL_081112_279","279","sulfur","Lepidoptera","Pieridae","Colias",NA,"eurytheme","","","PL","HLS",3,3,"8/11/12",32,"orange dandilion","Agoseris aurantica","Asteraceae",2013,"L.Ponisio","Boisduval"
"PL_081212_294","294","sulfur","Lepidoptera","Pieridae","Colias",NA,"eurytheme","","","PL","LCP",4,4,"8/12/12",33,"orange dandilion","Agoseris aurantica","Asteraceae",2013,"L.Ponisio","Boisduval"
"MM_080212_305","305","small dark bee","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","MM","HLS",3,3,"8/2/12",23,"yellow dandilion","Agoseris glauca","Asteraceae",2013,"J.S. Ascher","Cockerell"
"MM_080312_101","101","bee","Hymenoptera","Andrenidae","Andrena",NA,"apacheorum","","f","MM","HLS",4,4,"8/3/12",24,"yellow dandilion","Agoseris glauca","Asteraceae",2013,"J.S. Ascher","Cockerell"
"MM_080312_114","114","syrphid","Diptera","Syrphidae","Copestylum",NA,"avidum","","","MM","LCP",4,4,"8/3/12",24,"yellow dandilion","Agoseris glauca","Asteraceae",2013,"M. Hauser","Sacken"
"MM_080412_219","219","small dark bee","Hymenoptera","Halictidae","Lasioglossum","Dialictus","ruidosense","","f","MM","LCP",5,5,"8/4/12",25,"yellow dandilion","Agoseris glauca","Asteraceae",2013,"J.S. Ascher","Cockerell"
"MM_080412_167","167","syrphid","Diptera","Syrphidae","Copestylum",NA,"avidum","","","MM","LCP",5,5,"8/4/12",25,"yellow dandilion","Agoseris glauca","Asteraceae",2013,"M. Hauser","Sacken"
"JC_071512_142","142","bumble bee","Hymenoptera","Apidae","Bombus","","flavifrons","","f","JC","HLS",4,3,"7/15/12",5,"onion","Allium cernuum","Amaryllidaceae",2013,"R.W. Thorp","Cresson"
"JC_071712_173","173","bumble bee","Hymenoptera","Apidae","Bombus","","flavifrons","","f","JC","LCP",6,5,"7/17/12",7,"red onion","Allium cernuum","Amaryllidaceae",2013,"R.W. Thorp","Cresson"
"JC_071712_174","174","bumble bee","Hymenoptera","Apidae","Bombus","","flavifrons","","f","JC","LCP",6,5,"7/17/12",7,"red onion","Allium cernuum","Amaryllidaceae",2013,"R.W. Thorp","Cresson"
"JC_071712_21","21","bee",NA,NA,NA,NA,NA,NA,NA,"JC","HLS",6,5,"7/17/12",7,"red onion","Allium cernuum","Amaryllidaceae",NA,NA,NA
"MM_080212_110","110","syrphid","Diptera","Syrphidae","Chrysotoxum",NA,"sp.","a","","MM","LCP",3,3,"8/2/12",23,"nodding onion","Allium cernuum","Amaryllidaceae",2013,"M. Hauser",""
"MM_080312_206","206","bumble bee","Hymenoptera","Apidae","Bombus","","huntii","","f","MM","LCP",4,4,"8/3/12",24,"nodding onion","Allium cernuum","Amaryllidaceae",2013,"R.W. Thorp","Greene"
"MM_080412_208","208","wasp",NA,NA,NA,NA,NA,NA,NA,"MM","LCP",5,5,"8/4/12",25,"nodding onion","Allium cernuum","Amaryllidaceae",NA,NA,NA
"SC_072712_51","51","syrphid","Diptera","Syrphidae","Copestylum",NA,"lentum","","","SC","HLS",5,4,"7/27/12",17,"upright onion","Allium geyer","Amaryllidaceae",2013,"M. Hauser","Williston"
"SC_072912_65","65","wasp",NA,NA,NA,NA,NA,NA,NA,"SC","LCP",7,5,"7/29/12",19,"onion","Allium geyer","Amaryllidaceae",NA,NA,NA
"MM_080212_114","114","small dark bee","Hymenoptera","Halictidae","Lasioglossum","Dialictus","ruidosense","","f","MM","LCP",3,3,"8/2/12",23,"rock jasmine","Androsace chamaejasme","Primulaceae",2013,"J.S. Ascher","Cockerell"
"MM_080212_303","303","small dark bee","Hymenoptera","Halictidae","Lasioglossum","Dialictus","semicaeruleum","","f","MM","HLS",3,3,"8/2/12",23,"jasmine","Androsace chamaejasme","Primulaceae",2013,"J.S. Ascher","Cockerell"
"PL_081012_148","148","bombyliid",NA,NA,NA,NA,NA,NA,NA,"PL","LCP",2,2,"8/10/12",31,"white star","Arenaria lanuginosa","Caryophyllacea",NA,NA,NA
"JC_071112_26","26","bumble bee","Hymenoptera","Apidae","Bombus","","rufocinctus","","f","JC","LCP",1,1,"7/11/12",1,"Campanula rotundifolia","Campanula rotundifolia","Campanulaceae",2013,"R.W. Thorp","Cresson"
"JC_071212_7","7","bumble bee","Hymenoptera","Apidae","Bombus","","bifarius","","f","JC","HLS",2,1,"7/12/12",2,"Campanula rotundifolia","Campanula rotundifolia","Campanulaceae",2013,"R.W. Thorp","Cresson"
"JC_071212_17","17","bumble bee","Hymenoptera","Apidae","Bombus","","bifarius","","f","JC","HLS",2,1,"7/12/12",2,"Campanula rotundifolia","Campanula rotundifolia","Campanulaceae",2013,"R.W. Thorp","Cresson"
"JC_071212_38","38","bumble bee","Hymenoptera","Halictidae","Agapostemen","","angelicus","","f","JC","LCP",2,1,"7/12/12",2,"Campanula rotundifolia","Campanula rotundifolia","Campanulaceae",2013,"J.S. Ascher","Cockerell"
"JC_071212_39","39","bumble bee","Hymenoptera","Apidae","Bombus","","rufocinctus","","f","JC","LCP",2,1,"7/12/12",2,"Campanula rotundifolia","Campanula rotundifolia","Campanulaceae",2013,"R.W. Thorp","Cresson"
"JC_071212_104","104","bumble bee","Hymenoptera","Apidae","Bombus","","rufocinctus","","f","JC","LCP",2,1,"7/12/12",2,"Campanula rotundifolia","Campanula rotundifolia","Campanulaceae",2013,"R.W. Thorp","Cresson"
"JC_071212_123","123","bumble bee","Hymenoptera","Apidae","Bombus","","rufocinctus","","f","JC","HLS",2,1,"7/12/12",2,"Campanula rotundifolia","Campanula rotundifolia","Campanulaceae",2013,"R.W. Thorp","Cresson"
"JC_071212_23","23","bee","Hymenoptera","Halictidae","Dufourea","","fimbriata","","f","JC","HLS",2,1,"7/12/12",2,"Campanula rotundifolia","Campanula rotundifolia","Campanulaceae",2013,"J.S. Ascher","Cresson"
"JC_071212_8","8","bee","Hymenoptera","Apidae","Melissodes","Eumelissodes","tristis","","f","JC","HLS",2,1,"7/12/12",2,"Campanula rotundifolia","Campanula rotundifolia","Campanulaceae",2013,"J.S. Ascher","Cockerell"
"JC_071212_10","10","bee","Hymenoptera","Apidae","Melissodes","Eumelissodes","tristis","","f","JC","HLS",2,1,"7/12/12",2,"Campanula rotundifolia","Campanula rotundifolia","Campanulaceae",2013,"J.S. Ascher","Cockerell"
"JC_071212_18","18","bee","Hymenoptera","Apidae","Melissodes","Eumelissodes","tristis","","f","JC","HLS",2,1,"7/12/12",2,"Campanula rotundifolia","Campanula rotundifolia","Campanulaceae",2013,"J.S. Ascher","Cockerell"
"JC_071212_32","32","bee",NA,NA,NA,NA,NA,NA,NA,"JC","LCP",2,1,"7/12/12",2,"Campanula rotundifolia","Campanula rotundifolia","Campanulaceae",NA,NA,NA
"JC_071212_106","106","bee","Hymenoptera","Apidae","Melissodes","Eumelissodes","tristis","","f","JC","HLS",2,1,"7/12/12",2,"Campanula rotundifolia","Campanula rotundifolia","Campanulaceae",2013,"J.S. Ascher","Cockerell"
"JC_071212_132","132","pierid",NA,NA,NA,NA,NA,NA,NA,"JC","HLS",2,1,"7/12/12",2,"Campanula rotundifolia","Campanula rotundifolia","Campanulaceae",NA,NA,NA
"JC_071412_16","16","bee","Hymenoptera","Apidae","Anthophora","","montana","","m","JC","LCP",3,2,"7/14/12",4,"Campanula rotundifolia","Campanula rotundifolia","Campanulaceae",2013,"J.S. Ascher","Cresson"
"JC_071412_15","15","bumble bee","Hymenoptera","Apidae","Bombus","","rufocinctus","","f","JC","LCP",3,2,"7/14/12",4,"Campanula rotundifolia","Campanula rotundifolia","Campanulaceae",2013,"R.W. Thorp","Cresson"
