"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0"
"NetHBAbundance_Year2017",-4.79,0.39,-5.65,-4.15,1.07,8.31,20.69,0,1
"NetHBAbundance_Year2018",-3.86,0.61,-4.98,-2.84,1.81,1.5,20.89,0,1
"NetHBAbundance_Year2021",-0.51,0.47,-1.32,0.55,1.41,7.5,15.03,0.15,0.85
"NetHBAbundance_Year2022",-1.63,0.68,-2.96,-0.65,1.28,4.84,25.82,0,1
"NetHBAbundance_SRDoy",0.19,0.19,-0.06,0.68,1.12,8.65,11.09,0.92,0.08
"NetHBAbundance_ISRDoyE2",-1.02,0.2,-1.33,-0.63,1.25,5.85,11.48,0,1
"NetHBAbundance_Lat",-1.71,0.29,-2.4,-1.24,1.12,7.51,20.34,0,1
"NetBeeDiversity_MeanFloralDiversity",0.08,0.07,-0.06,0.22,1.41,2.18,11.62,0.87,0.13
"NetBeeDiversity_Lat",0.16,0.09,0,0.3,1.15,10.85,38.62,0.97,0.03
"NetBeeDiversity_Year2017",-0.45,0.16,-0.76,-0.15,1.11,8.27,11.84,0,1
"NetBeeDiversity_Year2018",-0.4,0.14,-0.67,-0.15,1.17,4.42,12.58,0,1
"NetBeeDiversity_Year2021",-0.77,0.14,-0.97,-0.48,1.04,9.27,87.99,0,1
"NetBeeDiversity_Year2022",-1.43,0.19,-1.79,-1.06,1.35,2.63,24.5,0,1
"NetBeeDiversity_SRDoy",-0.27,0.06,-0.38,-0.17,1.26,2.98,12.65,0,1
"NetBeeDiversity_ISRDoyE2",0.12,0.04,0.06,0.2,1.46,2.05,12.67,1,0
"CrithidiaPresence_Net_NonBombusHBAbundance",22.42,13.07,-2.93,43.81,1.29,5.97,14.47,0.93,0.07
"CrithidiaPresence_Net_HBAbundance",-222.4,87.11,-342.86,-78.96,1.03,6.79,42.38,0,1
"CrithidiaPresence_Net_BombusAbundance",-24.84,22.63,-67.84,15.49,1.33,8.1,14.18,0.18,0.82
"CrithidiaPresence_Net_BeeDiversity",-1926.29,1030.89,-3330.97,390.2,1.38,7.23,20.49,0.09,0.91
"CrithidiaPresence_rare.degree",420.35,489.58,-404.66,1378.29,1.59,1.74,26.21,0.75,0.25
"CrithidiaPresence_MeanITD",-2281.92,244.41,-2722.69,-1816.51,1.05,13,39.12,0,1
